recruitment_seq,company_type_seq,supply_kind,employee
R01464,2,402,60
R03414,2,402,90
R00715,2,402,90
R02653,4,100,10
R02425,2,514,20
R03590,4,402,150
R03774,2,402,590
R01726,4,402,150
R00655,2,100,200
R03096,2,402,590
R01877,4,402,150
R05875,2,201,10
R03891,2,402,4
R06176,2,402,90
R03499,2,402,90
R06643,2,402,60
R03445,4,402,32
R01252,2,402,590
R05429,9,508,56
R02747,2,402,40
R06018,2,402,310
R00205,2,402,90
R00166,2,402,60
R00981,7,100,150
R00117,9,402,20
R05057,2,402,41
R04969,2,100,270
R03961,2,402,250
R03035,2,402,500
R06454,2,201,20
R04191,2,402,15
R02750,2,402,590
R04954,2,100,145
R01719,2,402,390
R04925,2,100,270
R03925,2,402,350
R04546,2,100,200
R04243,2,514,20
R02214,2,402,200
R03537,2,402,250
R01918,2,402,120
R04547,2,402,90
R01775,7,501,100
R06215,4,402,150
R03675,4,402,525
R03152,4,402,60
R03348,2,402,250
R03937,2,402,250
R00033,2,514,20
R04128,4,402,0
R00100,2,402,590
R01748,2,402,8
R05553,2,402,41
R06523,2,100,250
R01650,2,402,41
R03471,2,514,20
R01810,2,402,40
R05349,2,402,120
R01298,2,402,590
R05250,4,402,150
R04971,2,402,590
R01273,2,100,80
R00838,2,402,90
R01443,5,402,800
R03729,5,402,10
R00145,2,402,60
R01948,2,402,590
R05895,2,100,145
R01357,2,402,350
R00939,2,100,145
R02944,5,402,300
R04295,2,201,60
R04926,4,402,150
R01156,2,402,260
R03940,4,402,525
R04505,2,402,310
R06379,2,402,40
R03478,4,402,0
R01914,2,402,90
R03642,4,402,150
R06266,2,402,97
R03019,2,402,390
R03127,2,100,200
R03884,2,402,90
R00020,2,402,90
R02908,2,100,250
R03351,2,402,500
R05507,2,100,270
R00172,4,402,525
R05822,2,402,41
R03230,2,100,250
R01232,2,402,310
R03252,4,402,525
R05311,4,402,150
R04456,2,402,41
R00718,2,100,270
R04648,2,402,590
R00417,2,402,500
R02557,2,100,250
R03486,2,402,41
R04002,2,100,200
R01233,2,402,90
R04654,2,100,200
R01929,2,402,41
R02546,9,100,30
R05661,4,402,150
R05031,2,402,41
R06306,5,402,1000
R05131,2,402,250
R03214,7,100,150
R06588,2,402,310
R00524,2,100,250
R02980,4,402,150
R04867,4,402,525
R02032,7,501,13
R05444,5,402,300
R02171,2,402,250
R01904,2,100,200
R03967,2,402,41
R03055,2,402,590
R04335,2,402,60
R01145,2,402,250
R06223,2,402,260
R02711,2,402,90
R04804,2,100,200
R04715,4,402,525
R04765,2,402,20
R03239,2,402,200
R03959,4,402,150
R00062,2,402,5
R04533,2,402,90
R02716,2,402,590
R05392,2,100,180
R04960,2,402,60
R03301,5,402,550
R00614,2,402,15
R02020,5,201,631
R06614,2,402,500
R06281,4,402,525
R04932,5,402,300
R05440,2,100,20
R05869,2,100,270
R02362,2,402,310
R06325,5,402,800
R05674,2,100,180
R06203,4,402,40
R01385,2,402,41
R05922,5,409,650
R04716,2,402,90
R03309,4,100,10
R02373,4,402,525
R04413,4,100,60
R00696,2,402,500
R06083,2,402,98
R01300,2,402,590
R04507,2,402,250
R03424,2,100,250
R05782,2,402,500
R01123,2,514,20
R01216,2,514,20
R03844,2,402,60
R05908,2,100,250
R01709,2,100,200
R06439,2,402,41
R02371,2,402,70
R02607,2,402,40
R05178,2,402,40
R04079,2,402,250
R05662,2,402,590
R00041,9,402,19
R01201,5,402,300
R01740,2,402,41
R01038,9,513,16
R00365,2,100,180
R04180,2,402,250
R02966,4,402,150
R05777,9,402,40
R06189,4,100,40
R01468,4,402,525
R01763,2,514,20
R06650,2,402,90
R03199,2,402,310
R00541,4,402,32
R06478,2,402,40
R00971,2,100,200
R00334,2,402,40
R00225,2,100,200
R01708,2,402,310
R00446,4,402,150
R06635,2,402,500
R03203,2,402,70
R03247,2,402,90
R01068,2,402,90
R03935,4,402,525
R04304,2,402,60
R02744,2,402,500
R01759,2,402,41
R04965,4,402,525
R02207,2,514,20
R03629,4,402,525
R06558,2,100,100
R01013,2,514,20
R02893,2,100,22
R04769,4,402,525
R00422,2,402,90
R01213,9,402,20
R00227,5,100,1600
R04230,2,100,200
R03963,2,402,70
R02835,4,402,32
R02624,2,100,270
R00013,2,514,20
R04998,2,402,250
R05878,2,201,20
R01134,2,402,40
R04758,2,514,20
R00135,2,402,310
R05390,2,100,145
R06644,2,100,250
R01431,4,402,150
R03882,2,402,590
R04508,4,402,525
R06304,2,402,590
R06468,2,402,250
R03593,4,402,12
R04122,2,402,590
R06479,2,100,270
R01138,4,402,525
R01174,2,100,270
R02059,2,402,90
R00164,4,402,525
R04233,4,402,150
R03378,2,402,590
R02864,2,402,310
R04686,2,402,500
R05576,2,402,90
R02308,2,402,40
R05988,2,514,20
R02706,2,201,10
R03468,2,100,270
R00009,2,402,41
R04680,2,402,90
R00781,5,402,300
R02136,2,402,60
R06638,2,402,310
R02517,2,201,60
R05461,2,100,100
R03952,4,402,32
R04504,2,402,90
R00147,2,514,20
R03146,2,100,80
R05885,2,100,200
R05684,5,412,2000
R00158,4,402,525
R05270,4,402,150
R04375,2,514,20
R02851,2,100,22
R01893,2,402,70
R03568,2,201,50
R01342,4,402,150
R05259,2,201,60
R00984,4,402,525
R02680,2,201,160
R04007,2,100,180
R00812,2,402,310
R03934,2,100,100
R01366,9,402,20
R05081,2,402,590
R00645,2,100,270
R02948,2,100,80
R04534,2,402,590
R00734,2,402,500
R00315,4,402,0
R03192,2,402,500
R04690,2,514,20
R01884,5,402,300
R03594,2,402,90
R01600,5,402,300
R06164,2,402,390
R01243,5,402,300
R02176,2,201,60
R00304,2,402,90
R02304,2,201,60
R02964,4,402,525
R04996,2,100,145
R04430,5,402,300
R04299,4,402,525
R05169,2,402,500
R02643,2,100,145
R01333,2,402,2
R05262,2,402,90
R05000,2,100,270
R06424,2,402,130
R00533,4,402,32
R01268,4,402,525
R02808,2,402,250
R05642,4,402,525
R00848,2,100,180
R05549,4,402,150
R04035,2,100,250
R06525,2,402,590
R03034,2,514,20
R04182,4,100,40
R05983,2,402,250
R00756,2,402,40
R05427,2,100,270
R06371,2,402,41
R03047,2,402,500
R03273,2,514,20
R01242,2,100,180
R06457,2,402,41
R01463,2,402,500
R05650,2,100,145
R04189,2,100,145
R01358,2,100,270
R04841,2,100,100
R01105,4,501,10
R02522,2,100,100
R00542,4,100,40
R06198,4,402,525
R02292,2,100,270
R00015,2,402,590
R06131,2,402,260
R05819,2,201,60
R02718,7,501,20
R03151,4,402,525
R03253,2,402,350
R04569,2,402,590
R03586,2,402,41
R01652,4,402,525
R03493,2,100,145
R00892,2,100,180
R02096,2,514,20
R06528,2,402,25
R02568,2,100,100
R06204,2,402,250
R00325,4,402,120
R00280,2,100,145
R01395,2,100,250
R05633,4,402,0
R04038,2,402,500
R01583,7,402,42
R04216,2,402,250
R04227,4,100,60
R01063,2,402,590
R00511,2,100,80
R03795,4,402,40
R05175,2,402,41
R01231,2,402,590
R02125,4,100,40
R05535,2,402,590
R05248,4,402,40
R04287,4,402,525
R01868,2,402,90
R03924,2,402,41
R06552,2,514,20
R00675,4,402,32
R04833,2,402,590
R01429,4,402,525
R04081,2,402,60
R03609,4,402,525
R03016,5,501,12223
R04557,2,100,145
R05758,2,100,420
R00264,5,402,950
R00749,2,402,310
R05303,2,402,310
R02753,2,100,250
R05167,2,100,250
R00732,2,100,200
R01470,2,100,200
R01869,2,402,90
R01690,2,100,200
R01237,2,201,60
R01111,2,201,60
R01722,2,402,41
R03689,2,100,270
R00278,2,402,90
R05396,2,100,100
R00731,9,508,50
R06185,2,402,590
R01935,2,402,500
R05054,2,100,270
R02874,2,402,590
R04428,4,402,525
R03276,2,402,120
R06295,2,402,20
R04562,9,402,19
R00581,2,402,250
R04672,2,100,100
R05289,4,402,150
R00240,4,402,525
R00423,4,402,525
R01604,2,100,145
R00804,4,402,150
R03607,2,100,145
R05536,2,201,20
R04588,2,402,90
R04030,2,201,60
R01892,2,100,180
R01571,5,402,300
R03165,4,402,70
R04068,4,402,150
R00329,2,402,250
R03262,5,402,300
R05816,4,100,40
R04530,2,402,250
R06143,3,601,200
R01632,2,100,250
R05281,2,402,500
R01328,2,402,130
R06321,2,402,70
R03044,2,402,260
R05568,2,402,500
R02715,2,514,20
R01325,2,402,590
R02503,2,402,41
R01127,2,402,310
R00292,2,514,20
R06248,4,402,150
R00640,2,402,130
R06459,2,100,270
R04888,9,508,50
R06634,2,100,250
R04094,5,402,1000
R01688,2,201,10
R04411,4,100,40
R03747,9,402,20
R04421,4,402,150
R04107,2,402,590
R00807,4,402,150
R05076,5,402,300
R03002,4,409,250
R06188,2,100,200
R02012,2,402,590
R00775,2,100,250
R00258,2,402,120
R05500,2,100,200
R02163,2,100,145
R06377,2,514,20
R00131,4,402,525
R00122,2,514,20
R04800,2,402,41
R02036,9,508,3
R01139,5,201,631
R03599,5,402,300
R06095,4,402,150
R01119,2,402,41
R02793,2,402,500
R05218,4,402,525
R04883,4,402,70
R03823,2,402,590
R05088,2,402,90
R04805,2,514,20
R03142,2,100,180
R02776,4,402,525
R06093,2,402,250
R00777,9,508,10
R06443,2,402,60
R03704,2,507,150
R03817,2,402,500
R00253,2,402,390
R04417,2,402,250
R05254,2,402,40
R04945,2,100,200
R03094,2,402,41
R02532,5,402,800
R04224,2,100,250
R03520,2,402,260
R01668,2,100,270
R01372,2,100,145
R04138,4,512,13
R00374,4,402,525
R06501,5,402,300
R02099,2,402,41
R03856,3,409,80
R03091,2,402,390
R00034,2,100,145
R05431,9,402,20
R01517,5,100,1600
R02533,5,402,300
R03005,4,402,32
R05495,2,402,90
R00273,9,515,9
R00566,2,201,60
R06227,2,100,250
R06315,2,100,200
R01776,2,402,60
R03222,2,402,60
R03892,2,402,250
R01633,2,402,60
R05864,5,402,300
R03069,9,402,20
R04943,4,402,150
R03610,2,100,100
R02932,2,402,90
R02891,4,402,150
R03763,2,100,100
R02000,2,402,70
R04879,4,402,150
R02728,4,402,525
R00738,2,402,310
R03985,4,402,150
R06263,2,402,90
R02069,4,402,150
R02026,2,402,590
R01700,2,402,250
R04170,2,100,250
R01394,4,402,525
R05730,4,402,32
R05539,2,402,250
R02066,2,402,90
R06177,2,402,590
R06102,2,100,200
R06561,7,402,50
R00564,2,402,41
R01815,2,402,90
R05241,2,100,250
R01870,4,402,120
R03773,5,402,800
R03061,2,514,20
R00269,2,402,90
R01249,2,201,60
R04426,5,402,10
R04915,2,402,590
R03596,2,402,40
R02143,2,402,40
R00701,5,402,300
R01913,2,402,500
R00842,2,100,270
R02639,2,402,60
R01259,4,201,150
R05342,2,402,90
R04268,2,100,100
R03859,9,402,20
R03665,2,402,98
R03282,2,402,10
R02198,2,100,100
R02876,9,508,12
R05307,4,402,70
R04817,2,100,250
R04897,4,402,525
R00889,5,402,300
R03446,2,402,90
R06092,2,100,200
R03050,2,100,250
R04140,5,100,1000
R01967,2,402,250
R03694,2,100,250
R02010,2,100,180
R05573,2,100,270
R05275,2,402,590
R04590,2,402,90
R06075,4,402,150
R05668,2,201,60
R06146,2,402,500
R02646,4,402,150
R02228,2,201,160
R00071,4,201,50
R01712,2,100,100
R05482,2,402,250
R02469,2,514,20
R01027,2,100,145
R03281,4,402,40
R04535,2,402,6
R02023,2,100,270
R06385,2,402,260
R02701,2,402,130
R03139,2,402,60
R02592,2,201,60
R00884,2,100,270
R03552,2,402,310
R03632,9,100,30
R06202,4,402,525
R03138,4,402,150
R01279,4,402,525
R02831,9,508,3
R02758,2,402,310
R00577,2,100,270
R05542,2,402,590
R04750,2,100,180
R03654,2,100,270
R02666,4,402,150
R04881,4,402,40
R02254,2,514,20
R02829,2,402,41
R04259,4,402,150
R02496,9,402,40
R05147,2,514,20
R04076,2,402,70
R03907,2,100,270
R02977,2,201,10
R00656,4,402,150
R04270,2,100,180
R03077,2,201,10
R05090,5,100,1600
R00985,2,507,150
R01512,9,402,20
R05561,2,402,120
R05972,2,100,250
R00310,2,402,310
R05623,4,402,525
R06625,2,402,90
R01639,2,402,590
R05398,4,501,10
R02086,2,402,590
R02159,2,402,590
R02663,2,100,100
R02049,5,402,300
R02212,2,514,20
R06613,2,402,250
R00972,2,402,41
R02269,5,402,300
R04293,2,402,500
R05019,2,100,250
R04919,2,514,20
R04086,4,402,150
R04853,2,402,90
R05144,2,514,20
R05886,2,402,40
R03693,2,402,90
R03878,2,100,250
R02090,2,514,20
R05116,4,100,10
R06369,5,402,800
R05249,2,402,500
R02497,2,402,41
R00966,2,402,350
R04744,2,402,390
R00126,2,100,100
R01541,2,100,200
R05443,2,402,590
R03340,4,402,525
R00962,2,402,590
R04022,4,402,525
R04063,2,402,250
R05840,2,100,270
R02501,4,402,525
R05571,2,402,130
R01339,2,402,90
R06001,2,100,200
R00850,9,515,9
R05092,2,100,180
R04042,2,402,250
R03757,2,402,41
R05584,5,402,800
R06324,2,402,500
R01487,2,100,200
R00395,2,402,90
R01275,2,402,60
R03040,4,402,150
R04158,2,402,90
R06660,2,514,20
R02443,2,402,90
R05246,4,402,150
R04550,2,514,20
R03813,2,402,250
R00795,5,402,300
R04278,2,402,390
R04982,4,402,6
R04371,2,514,20
R00245,2,402,41
R05572,9,402,20
R06038,2,402,90
R05826,2,402,120
R00862,7,501,0
R04310,2,402,310
R02321,2,402,310
R05312,9,402,20
R06008,2,402,590
R03161,7,100,170
R06076,2,402,590
R03027,2,402,590
R00868,2,402,500
R02386,2,402,41
R00119,4,402,150
R02364,2,402,90
R01801,2,402,20
R05182,4,402,150
R05794,4,402,150
R04072,5,402,300
R00998,2,402,130
R02676,2,402,41
R01539,2,100,145
R05197,2,402,500
R00914,4,402,525
R06476,2,402,500
R06097,2,100,270
R02590,4,402,525
R01947,2,100,80
R06180,2,402,20
R06641,2,514,20
R06370,2,402,310
R06159,4,402,150
R01624,2,402,90
R02154,2,402,60
R04617,2,402,60
R03555,2,402,310
R00362,4,402,150
R06677,9,402,20
R05316,4,402,525
R05428,5,402,300
R00717,2,402,60
R03000,2,402,41
R04927,2,402,200
R04393,2,100,145
R04797,2,402,250
R05460,2,100,270
R05852,2,402,90
R02794,2,402,40
R05528,2,402,310
R04626,2,402,310
R02460,9,402,40
R03601,9,508,35
R00194,2,402,90
R06052,2,402,15
R04402,9,508,3
R04663,9,402,40
R03703,7,501,300
R06663,2,100,145
R01670,2,402,10
R01849,2,100,200
R03551,5,402,10
R00116,2,402,90
R02904,2,402,41
R04993,2,402,90
R02950,2,100,145
R05763,5,402,300
R04770,5,402,10
R02698,2,402,60
R00357,4,402,525
R06608,2,514,20
R03970,2,201,58
R00255,2,402,250
R05415,9,515,9
R01167,2,402,90
R04264,2,402,590
R06056,2,402,310
R02511,2,402,60
R00797,2,402,90
R04256,2,402,590
R04556,5,201,631
R05139,2,402,40
R03204,2,402,90
R02751,4,402,150
R01891,2,514,20
R02540,2,402,90
R03070,4,402,150
R00630,2,100,200
R00680,2,100,420
R03562,2,402,250
R02266,5,402,300
R02986,7,501,30
R00623,2,402,590
R02363,2,402,41
R00652,2,402,250
R01920,2,402,20
R03953,2,514,20
R04476,2,100,180
R02291,2,514,20
R05156,4,100,40
R01753,2,100,180
R02155,5,402,300
R00945,7,402,42
R01768,4,402,60
R05511,2,402,10
R03826,4,402,150
R03048,2,514,20
R01133,2,100,270
R04211,4,402,525
R00580,2,402,41
R02397,4,402,70
R03860,2,100,180
R01638,2,402,41
R01383,2,402,260
R06186,2,402,260
R03938,2,514,20
R06445,2,402,250
R05039,5,402,800
R01130,2,100,250
R02815,2,402,97
R04972,2,100,180
R03960,9,402,20
R00639,5,402,300
R02778,4,402,150
R05703,2,514,20
R06402,2,514,20
R03628,2,402,250
R05874,2,402,40
R04432,2,100,145
R04008,2,402,500
R03719,2,100,200
R02259,2,402,90
R00568,2,100,250
R06642,4,402,130
R05879,2,100,200
R06380,2,100,200
R04354,4,402,150
R03613,2,402,590
R00735,2,201,60
R05547,4,402,150
R04011,2,402,390
R06521,2,100,250
R04889,2,402,60
R01282,9,100,30
R03216,2,402,70
R06633,4,402,150
R01764,4,402,120
R03485,2,514,20
R02755,2,402,50
R04521,2,201,20
R04847,4,402,150
R02100,9,402,20
R01466,4,402,150
R05370,2,100,145
R05047,2,201,160
R04565,2,402,41
R04823,2,402,250
R06123,2,402,60
R04348,2,402,260
R02224,4,402,525
R06247,2,100,420
R05115,2,402,15
R02387,2,100,270
R06270,2,100,250
R05891,4,402,525
R02380,4,402,70
R00603,2,514,20
R02886,2,402,60
R03995,2,402,41
R00480,2,402,90
R01812,4,402,525
R06088,2,501,591
R02710,2,100,145
R00665,2,100,250
R06006,2,100,270
R02235,2,100,100
R01247,9,508,23
R06481,4,402,150
R00090,2,402,41
R00733,2,402,590
R01346,2,402,10
R03443,7,402,42
R01009,2,100,200
R03772,2,402,250
R04186,2,100,145
R03835,4,402,7
R00826,2,201,100
R04484,2,402,590
R02903,2,402,310
R00990,2,402,15
R04312,4,402,32
R05804,5,402,300
R03254,2,402,90
R03083,2,402,90
R00428,2,402,40
R06311,2,100,250
R05446,2,100,200
R01497,4,402,525
R05455,2,402,90
R06341,4,402,32
R01418,9,402,20
R00931,2,402,590
R00108,2,100,250
R00077,5,100,1000
R03862,4,402,150
R01073,5,402,300
R03769,4,402,525
R02623,2,514,20
R01938,4,402,40
R04637,2,201,110
R04612,5,402,1000
R04573,4,402,70
R02084,2,402,130
R02580,2,514,20
R01510,7,402,42
R05842,2,402,41
R02885,2,100,145
R02621,2,402,500
R00508,2,402,0
R01265,2,402,250
R04364,9,402,19
R00721,2,201,10
R01338,2,402,40
R03994,4,402,525
R03597,2,100,145
R04572,2,100,270
R00676,9,402,20
R03470,2,402,60
R05230,2,100,100
R04611,2,402,41
R01435,2,402,41
R03687,4,402,525
R03013,2,402,90
R05170,2,402,90
R04748,5,402,300
R04733,2,402,120
R03437,2,605,10
R01519,2,402,60
R05818,2,402,310
R02823,2,100,250
R00421,2,100,270
R05015,4,402,150
R04440,2,402,90
R05053,2,100,100
R06207,2,100,250
R01566,2,100,420
R03290,4,402,150
R01743,2,514,20
R00181,4,402,0
R05734,2,402,4
R05263,2,402,590
R04115,2,514,20
R05125,4,402,150
R04671,4,402,150
R02702,2,402,590
R03264,2,201,20
R06152,4,402,40
R03046,2,402,310
R01224,4,402,12
R06510,2,402,310
R00816,2,402,310
R01033,2,402,310
R04370,2,201,60
R03914,2,402,250
R00539,2,402,41
R02179,2,402,590
R03197,2,402,250
R02418,2,402,90
R01094,2,201,10
R01321,4,402,525
R00233,2,402,90
R06653,2,100,270
R01997,2,100,100
R05265,4,402,150
R00197,2,402,310
R00450,2,100,180
R00445,2,402,90
R01630,2,402,90
R01495,2,100,100
R06355,2,402,90
R02614,4,402,525
R00841,5,402,300
R01850,2,514,20
R02353,4,402,525
R05335,2,402,90
R00217,4,402,150
R04842,2,402,25
R06170,2,514,20
R02208,2,402,500
R05447,2,402,90
R00646,4,402,5
R02007,2,514,20
R00531,2,514,20
R01522,2,402,130
R05624,2,402,90
R04787,2,100,270
R03865,2,402,90
R04193,2,100,100
R05764,2,402,90
R00076,2,514,20
R00525,2,402,590
R02052,4,402,150
R05255,2,100,270
R04261,2,100,180
R00036,4,402,525
R01567,2,402,390
R04863,9,100,30
R02011,9,402,19
R02335,2,514,20
R06450,4,402,150
R00392,4,402,525
R02813,4,402,525
R06383,4,402,120
R05434,4,402,525
R00011,2,100,200
R05514,2,402,90
R04024,2,514,20
R03644,2,100,200
R04275,2,402,310
R04232,2,402,41
R00268,2,402,20
R06210,2,402,41
R00688,2,402,310
R06365,9,402,10
R01981,2,402,90
R05457,2,402,250
R04385,2,402,90
R05187,2,402,90
R04108,2,201,160
R04788,2,100,200
R00001,5,201,631
R02875,2,514,20
R00023,4,402,525
R01099,2,402,40
R02341,4,402,150
R01069,2,100,270
R01291,2,100,270
R02889,2,402,97
R00394,5,402,10
R05962,9,508,600
R00979,2,100,100
R06647,2,402,90
R02942,2,402,90
R02941,2,402,60
R03754,2,514,20
R05381,2,100,145
R00888,2,402,41
R00030,2,514,20
R04435,2,402,90
R02924,2,402,70
R00435,2,402,41
R03739,2,402,41
R06151,2,402,90
R01417,2,100,420
R04608,2,201,60
R04605,2,402,70
R01112,2,402,40
R01449,4,402,0
R01819,2,402,590
R01347,2,100,270
R03118,2,402,130
R01121,2,100,180
R04234,2,402,90
R03097,2,402,590
R03818,2,402,90
R01258,2,402,250
R01226,2,402,590
R00471,2,100,250
R02022,2,100,100
R02013,2,514,20
R03398,2,402,310
R05810,2,201,60
R06193,2,402,90
R06284,2,514,20
R04525,4,402,150
R00380,2,402,40
R02044,7,100,150
R04221,2,402,90
R02085,2,100,280
R05213,7,100,170
R06333,2,402,310
R00514,9,508,3
R04584,2,100,180
R02539,2,100,270
R05621,2,402,41
R01995,4,100,60
R03782,7,402,100
R04700,4,402,70
R03638,2,402,41
R03801,4,100,200
R03064,2,402,40
R04309,4,402,525
R01204,2,100,270
R02616,4,402,525
R04251,2,402,90
R04559,2,100,200
R02863,4,402,525
R00588,2,402,40
R06451,2,402,90
R05672,2,402,250
R00924,2,402,41
R05961,4,402,40
R00155,2,100,22
R05786,2,402,500
R01964,2,402,500
R00891,2,100,270
R06397,2,100,270
R02741,2,402,41
R03030,2,402,41
R00836,2,402,250
R05491,2,201,10
R05163,2,402,250
R00691,2,100,180
R01564,2,402,250
R04899,2,402,35
R01362,2,100,118
R00620,2,402,500
R03017,5,402,300
R02811,2,402,390
R00649,2,201,60
R04018,2,100,180
R04669,2,402,40
R02105,4,402,120
R06428,2,100,200
R03749,5,402,300
R00615,2,402,40
R01843,9,508,40
R03076,2,100,145
R01471,2,402,500
R02600,2,402,590
R05705,4,402,150
R01445,2,402,97
R05894,4,402,525
R00796,2,402,590
R05765,2,402,40
R02828,2,402,310
R02365,2,402,250
R02284,2,402,590
R06136,2,402,60
R01142,2,402,590
R02035,2,402,90
R06067,2,100,270
R00562,4,402,150
R02142,2,100,100
R00763,2,402,40
R01433,2,514,20
R01376,4,402,150
R00690,2,409,15
R06269,4,402,150
R03021,2,402,500
R01428,2,402,130
R05759,2,402,90
R05532,2,402,10
R05489,2,402,41
R00616,2,402,60
R00366,2,100,200
R06293,9,402,20
R06276,2,402,90
R00262,4,402,150
R05059,4,100,10
R01990,2,514,20
R03416,2,100,100
R01673,4,402,525
R02849,4,100,40
R05417,2,100,250
R03088,2,402,41
R06309,2,402,41
R03394,2,402,500
R05407,2,100,270
R03080,2,402,500
R02804,5,402,300
R06391,2,402,90
R01978,2,402,590
R04095,2,100,270
R00563,4,100,40
R02471,2,402,25
R02647,5,402,300
R03900,9,100,30
R01572,2,402,500
R01440,2,402,500
R06011,2,100,200
R05221,2,100,250
R00040,2,100,145
R05184,5,402,300
R05993,2,201,74
R05285,2,100,145
R01407,9,601,120
R03765,2,402,90
R00610,2,402,41
R01585,2,201,110
R01557,2,514,20
R00937,2,514,20
R04502,4,402,525
R03655,9,402,40
R05365,2,100,80
R01560,2,402,90
R01754,2,402,90
R06331,2,402,60
R00561,2,402,500
R03814,2,201,20
R02017,2,402,41
R04353,4,402,150
R02684,9,402,19
R02408,4,402,525
R06323,2,402,90
R01558,2,402,90
R01562,2,402,90
R00626,2,402,90
R01114,4,402,40
R03172,4,402,150
R05853,9,100,30
R00504,4,402,525
R01718,2,201,160
R00214,5,402,800
R04090,2,100,100
R04464,2,402,90
R02625,2,100,270
R01694,4,402,32
R02526,2,402,97
R01299,2,402,60
R03465,2,402,130
R00453,9,508,3
R00075,2,100,270
R02551,4,402,150
R03364,2,402,60
R05825,2,402,250
R01208,2,402,40
R05831,9,402,40
R05772,2,402,590
R02510,2,100,145
R01203,2,402,140
R01979,2,402,90
R02686,2,100,145
R01014,2,402,390
R04979,2,402,41
R01108,2,402,90
R02726,2,402,70
R05998,2,402,590
R02989,2,100,100
R03225,2,402,60
R03978,2,402,90
R02499,4,100,40
R04885,2,402,390
R00687,2,100,145
R03431,4,402,150
R01523,2,402,40
R04448,2,402,17
R03573,2,402,90
R02382,5,402,300
R05640,4,402,12
R04599,2,402,350
R03291,2,402,590
R06567,2,402,10
R03775,2,402,0
R02097,4,402,525
R03367,4,100,40
R00517,2,100,145
R01895,2,100,270
R03748,2,100,180
R05343,9,508,600
R05119,2,100,180
R00901,2,100,145
R03463,2,514,20
R03480,2,402,41
R05587,4,402,150
R01796,7,100,30
R05458,4,402,120
R04497,2,402,590
R02316,9,402,40
R03706,2,100,100
R02735,2,402,590
R03926,4,402,525
R00124,2,402,41
R02672,2,201,60
R05102,2,201,10
R01451,5,402,300
R00478,2,514,20
R05551,2,402,40
R05986,2,402,310
R05753,5,402,800
R05260,2,402,260
R01945,2,100,100
R04857,5,100,1600
R02860,4,402,150
R03028,2,402,60
R02969,2,201,10
R05376,5,402,300
R03125,2,402,590
R00482,5,402,300
R03502,2,402,90
R04779,2,402,41
R00186,2,402,60
R05655,4,402,150
R01782,2,402,41
R05225,2,402,40
R04830,4,402,525
R04887,5,402,950
R02703,9,508,35
R03427,2,402,25
R02021,2,100,270
R02509,2,100,145
R02707,2,402,250
R01197,5,402,300
R01524,4,402,525
R01481,4,402,525
R02544,2,402,500
R02325,2,402,90
R05955,4,402,12
R01785,5,402,300
R04176,2,402,590
R03170,2,402,40
R00977,2,100,145
R02781,2,514,20
R04806,2,402,60
R05710,2,402,4
R01594,2,514,20
R04166,2,402,40
R05496,2,514,20
R03261,2,402,41
R04807,2,201,60
R03530,4,402,120
