resume_seq,reg_date,updated_date,degree,graduate_date,hope_salary,last_salary,text_keyword,job_code_seq1,job_code_seq2,job_code_seq3,career_month,career_job_code
U06817,2012-01-10,2020-03-02,4,2008,0.0,6250.0,상품기획;MD,재료·화학·섬유·의복,,,156,섬유;봉제;가방;의류
U04201,2014-09-05,2020-03-14,5,2004,3700.0,3700.0,그래픽디자인;색채디자인;기획,경영·기획·회계·사무,디자인,,88,디자인;CAD;설계
U01439,2020-01-05,2020-01-30,4,2002,4300.0,4300.0,스타일디자이너,재료·화학·섬유·의복,,,100,기타 제조
U02114,2020-05-10,2020-11-20,4,2016,0.0,0.0,온라인MD;상품기획;바잉MD;여성복MD;유니섹스MD;잡화MD;머천다이저,재료·화학·섬유·의복,,,9,도소매;유통;무역
U07038,2012-02-14,2020-06-11,3,0,0.0,3500.0,우븐스웨터다이마루생산관리,재료·화학·섬유·의복,,,144,섬유;봉제;가방;의류
U00567,2019-11-29,2020-02-17,4,2010,0.0,0.0,상품기획;영업,재료·화학·섬유·의복,,,0,
U04538,2019-04-16,2020-09-14,4,2010,0.0,0.0,상품기획;수입바잉;MD,재료·화학·섬유·의복,,,36,쇼핑몰;전자상거래;경매
U05153,2014-09-24,2020-10-29,2,2000,3900.0,3300.0,우븐디자인;패션디자인,디자인,,,123,섬유;봉제;가방;의류
U02133,2015-01-30,2020-09-24,4,2002,4300.0,4300.0,섬유;의류관련수출입및바잉MR,영업·판매·TM,재료·화학·섬유·의복,,96,섬유;봉제;가방;의류
U01563,2019-10-07,2020-02-10,4,2012,2900.0,2700.0,영업MD;매장영업관리,재료·화학·섬유·의복,,,30,도소매;유통;무역
U06860,2019-03-03,2020-09-01,4,2010,0.0,0.0,디자이너,재료·화학·섬유·의복,,,0,영화;방송;공연;문화;스포츠
U01134,2016-06-20,2020-10-07,4,2007,0.0,5250.0,경영기획;경영전략;기업분석;사업기획;워드;문서작성;사무;해외사업;해외영업;컨텐츠관리;사이트운영;베타테스트기획;전산직;문서작성;엑셀;워드;홈페이지관리;파워포인트;전산;전산,경영·기획·회계·사무,영업·판매·TM,IT·게임,111,자동차;운송장비;조선;항공
U01281,2019-06-30,2020-03-13,4,1993,0.0,7500.0,영업관리;부서장,재료·화학·섬유·의복,,,210,섬유;봉제;가방;의류
U06016,2020-07-12,2020-10-04,4,1997,0.0,0.0,데님;섬유;소재개발;아동복;우븐;의류;의복;캐주얼,재료·화학·섬유·의복,,,144,섬유;봉제;가방;의류
U00312,2017-01-29,2020-09-24,4,2009,0.0,0.0,영업;영업MD;MD;머천다이저,재료·화학·섬유·의복,,,31,섬유;봉제;가방;의류
U05859,2019-01-30,2020-06-18,4,2008,0.0,2300.0,매장영업관리,재료·화학·섬유·의복,,,35,섬유;봉제;가방;의류
U08280,2020-03-15,2020-06-03,4,2000,0.0,10000.0,여성복디자이너,재료·화학·섬유·의복,,,193,디자인;CAD;설계
U08071,2020-10-27,2020-10-27,2,0,0.0,3100.0,패션디자이너;소재디자이너,디자인,,,0,
U02445,2016-05-18,2020-06-01,4,2008,0.0,3500.0,MD;상품기획;머천다이저;영업MD;마케팅,재료·화학·섬유·의복,,,57,도소매;유통;무역
U04002,2018-02-22,2020-08-09,4,2005,0.0,0.0,여성복디자이너,재료·화학·섬유·의복,,,84,도소매;유통;무역
U07896,2016-09-16,2020-04-05,5,1999,0.0,0.0,패션디자인;의상디자인;스타일디자인,재료·화학·섬유·의복,,,120,섬유;봉제;가방;의류
U07601,2018-05-03,2020-08-29,4,1999,0.0,4300.0,캐릭터개발;그래픽디자인;잡화디자인;원단패턴;의류,재료·화학·섬유·의복,,,120,섬유;봉제;가방;의류
U06369,2016-07-12,2020-05-07,4,2000,4900.0,4900.0,거래처관리;대리점관리;매장관리;매출관리;영업관리;기술영업;일반영업;법인영업;제약영업,재료·화학·섬유·의복,영업·판매·TM,,138,도소매;유통;무역
U02486,2020-03-27,2020-09-24,4,1996,4900.0,4900.0,영업기획;기획MD;영업,재료·화학·섬유·의복,,,138,섬유;봉제;가방;의류
U05584,2019-05-20,2020-01-06,4,2012,0.0,0.0,디자인무역,재료·화학·섬유·의복,,,10,섬유;봉제;가방;의류
U00051,2018-05-28,2020-12-21,4,1999,0.0,4500.0,구매생산MD;생산관리,재료·화학·섬유·의복,,,120,운송;운수;통신
U02954,2020-05-01,2020-10-11,4,2013,1900.0,0.0,상품기획,재료·화학·섬유·의복,,,0,
U02594,2019-10-28,2020-01-11,5,2005,0.0,0.0,미술전공패션디자이너;컬러리스트자격증,디자인,,,0,
U06640,2016-06-11,2020-10-07,4,2009,0.0,2500.0,해외영업;생산관리;원부자재발주,재료·화학·섬유·의복,,,48,섬유;봉제;가방;의류
U00012,2014-04-15,2020-07-23,4,2012,0.0,4500.0,아웃도어;스포츠;여성복;남성복;캐주얼;디자이너;경력,재료·화학·섬유·의복,,,101,섬유;봉제;가방;의류
U05500,2020-03-02,2020-03-02,4,2008,2100.0,2500.0,전자공학;전자;디스플레이;반도체생산;반도체;발광다이오드;회로설계;LCD;LED;VLSI;섬유;소재개발;의류;전자통신;전자회로;제어;PLC;회로설계;전기회로;전기제어,건설·기계·전기·전자,재료·화학·섬유·의복,,54,섬유;봉제;가방;의류
U05543,2020-06-04,2020-10-15,4,2014,1700.0,1900.0,상품기획;머천다이저,재료·화학·섬유·의복,,,39,출판;인쇄;편집;영상
U02406,2018-11-10,2020-06-15,4,2007,0.0,0.0,패션디자인,재료·화학·섬유·의복,,,72,섬유;봉제;가방;의류
U06396,2016-01-28,2020-07-11,4,2007,0.0,2500.0,원단;거래처관리;대리점관리;매장관리;매출관리;영업관리;영업지원;프로모션;VANDER;MD,재료·화학·섬유·의복,,,24,섬유;봉제;가방;의류
U00981,2020-12-23,2020-12-24,4,2012,0.0,0.0,매장영업관리,재료·화학·섬유·의복,,,0,전기;전자;통신장비
U01974,2019-07-30,2020-08-12,4,0,0.0,0.0,,디자인,,,0,섬유;봉제;가방;의류
U00864,2018-10-14,2020-09-26,4,2004,0.0,4500.0,영업MD;유통채널관리;상품소싱및기획;영업기획;거래처관리;악세사리;캐주얼;모자;스포츠웨어;의류,재료·화학·섬유·의복,,,142,섬유;봉제;가방;의류
U03604,2020-01-04,2020-05-11,4,0,1300.0,2900.0,디자이너,재료·화학·섬유·의복,,,8,도소매;유통;무역
U05778,2019-10-14,2020-10-26,4,2015,4100.0,4100.0,매장영업관리및영업,재료·화학·섬유·의복,,,77,섬유;봉제;가방;의류
U03377,2009-12-29,2020-12-23,4,2003,0.0,5250.0,아동복디자이너;캐쥬얼디자이너;스포츠디자이너;패션디자인;의상디자인,재료·화학·섬유·의복,,,156,섬유;봉제;가방;의류
U06933,2020-06-09,2020-06-10,4,2014,0.0,0.0,상품기획;매장영업관리;영업MD;온라인MD,재료·화학·섬유·의복,,,22,쇼핑몰;전자상거래;경매
U07878,2019-03-24,2020-04-15,4,1999,0.0,2500.0,상품기획;머천다이저;상품바이어;해외마케팅,재료·화학·섬유·의복,,,60,호텔;숙박;관광;여행;외식
U02728,2019-03-27,2020-12-16,4,2002,4900.0,3700.0,TD캐주얼;남성복;우븐디자이너,재료·화학·섬유·의복,,,105,섬유;봉제;가방;의류
U00355,2019-02-12,2020-04-16,4,2005,0.0,2300.0,우븐경력디자이너;아동복브랜드경력,디자인,,,43,섬유;봉제;가방;의류
U06602,2006-11-12,2020-06-27,4,2006,0.0,4700.0,영업MD;영업지원;영업관리,재료·화학·섬유·의복,,,176,섬유;봉제;가방;의류
U02782,2018-01-27,2020-10-20,3,2017,0.0,0.0,모델피팅;의류;웨딩;뷰티,재료·화학·섬유·의복,,,3,섬유;봉제;가방;의류
U02087,2017-07-07,2020-07-22,4,1988,5750.0,5250.0,의류생산;품질관리전문가,재료·화학·섬유·의복,,,276,섬유;봉제;가방;의류
U00659,2019-05-31,2020-07-19,4,2003,0.0,6250.0,매장관리;영업관리;백화점;로드숍;할인점;패션영업,재료·화학·섬유·의복,,,163,섬유;봉제;가방;의류
U00460,2016-01-21,2020-07-06,4,2005,2500.0,2300.0,다이마루디자인;여성복디자인;우븐디자인;패션디자인,디자인,,,65,섬유;봉제;가방;의류
U07426,2016-07-04,2020-02-08,4,2006,0.0,2100.0,머천다이저,재료·화학·섬유·의복,,,30,섬유;봉제;가방;의류
U05866,2020-09-03,2020-09-04,4,2003,5250.0,4900.0,영업담당,재료·화학·섬유·의복,,,122,섬유;봉제;가방;의류
U03396,2018-10-05,2020-09-29,4,2011,2900.0,2900.0,상품기획;상품기획MD;영업MD;마케팅기획,재료·화학·섬유·의복,,,29,섬유;봉제;가방;의류
U04092,2020-01-14,2020-01-14,4,1995,3500.0,3900.0,자재,재료·화학·섬유·의복,,,156,섬유;봉제;가방;의류
U06872,2016-11-22,2020-10-18,2,0,0.0,2500.0,영업,재료·화학·섬유·의복,,,96,섬유;봉제;가방;의류
U00520,2020-08-13,2020-12-22,4,2006,3500.0,2900.0,생산MD;자재구매;생산관리;라벨관리,재료·화학·섬유·의복,,,97,섬유;봉제;가방;의류
U03434,2019-09-24,2020-12-17,4,2010,0.0,0.0,토탈디자이너,재료·화학·섬유·의복,,,24,섬유;봉제;가방;의류
U06252,2014-12-30,2020-08-21,4,2011,0.0,2100.0,영업MD,재료·화학·섬유·의복,,,62,도소매;유통;무역
