resume_seq,recruitment_seq
U01633,R04788
U01556,R02734
U01499,R03877
U08270,R06314
U00019,R03307
U06135,R02249
U02586,R00039
U05335,R04910
U01575,R00658
U06045,R05557
U04933,R03388
U02111,R03991
U02431,R06252
U01594,R02077
U01071,R04567
U06731,R03220
U06810,R01716
U07203,R00487
U07450,R02007
U05670,R01787
U06526,R04765
U08195,R00985
U07995,R06282
U08216,R06549
U01241,R00402
U04635,R03761
U02970,R00240
U02429,R04147
U06961,R03575
U02563,R02032
U03687,R02330
U05435,R00985
U04595,R00380
U03518,R02829
U07705,R00982
U00565,R04684
U06050,R01760
U04073,R02604
U08479,R04196
U01205,R06595
U02386,R03999
U08419,R03237
U07058,R06298
U00849,R06309
U01236,R02369
U03663,R02949
U05051,R04233
U07304,R01238
U03015,R03916
U07965,R00368
U02490,R00153
U03862,R02222
U02386,R05363
U03004,R05092
U04424,R04999
U03595,R00827
U03188,R02042
U07693,R03634
U00140,R06413
U00929,R01780
U07545,R04886
U02183,R00396
U06983,R04181
U06463,R05756
U05235,R03004
U00704,R02335
U08073,R01807
U00636,R04601
U07171,R05182
U01421,R02467
U00818,R06588
U03308,R00595
U05004,R04515
U05007,R01244
U02514,R01074
U02175,R00094
U08281,R02036
U05176,R03329
U00268,R03998
U00111,R01528
U05193,R01764
U01623,R05156
U03175,R06344
U05763,R03969
U05148,R02821
U03436,R03658
U04365,R02550
U02995,R01651
U05554,R00096
U00777,R03906
U03000,R00325
U08043,R03911
U08156,R00056
U02769,R01305
U01796,R03176
U03888,R05044
U06701,R00638
U01907,R00308
U01491,R03277
U00445,R03918
U05757,R04548
U05832,R01972
U04684,R06159
U06138,R06521
U06050,R03098
U00666,R01375
U01234,R00884
U00028,R02442
U06298,R05471
U03392,R04988
U01258,R04191
U03880,R05320
U03493,R00011
U06779,R03882
U07380,R03817
U02940,R05260
U04496,R02425
U06272,R00048
U01459,R04005
U04695,R00374
U08437,R04095
U01984,R03517
U03558,R04905
U02915,R04151
U07117,R06362
U05891,R00598
U02201,R02366
U05615,R04191
U01742,R02091
U06155,R06288
U05230,R05679
U06577,R06218
U02096,R01003
U00501,R03011
U06784,R06400
U08224,R05615
U07926,R03606
U08153,R06294
U01584,R03906
U07702,R03367
U07595,R03469
U05756,R01235
U07397,R00730
U08434,R03025
U08130,R01589
U00742,R06580
U07787,R05361
U02253,R00842
U03235,R02408
U01690,R05006
U01016,R04781
U04131,R04508
U03045,R04070
U06108,R05505
U04323,R06426
U02217,R00741
U06285,R04150
U01511,R06543
U01074,R04773
U03536,R02331
U07735,R00692
U04136,R05558
U05373,R04440
U03739,R03604
U06198,R00673
U02341,R05690
U03788,R02622
U01378,R00630
U08385,R03821
U03296,R00991
U04372,R01170
U07596,R06400
U01005,R00604
U01461,R01795
U06196,R00811
U01144,R01200
U02879,R03245
U05625,R06372
U06623,R00125
U01630,R02328
U00476,R01379
U04741,R03838
U00175,R04844
U06574,R04920
U07510,R04385
U04809,R00561
U05971,R06024
U00065,R04086
U05880,R01269
U02335,R01081
U07569,R01225
U00581,R04047
U02577,R05813
U04595,R02493
U05010,R05177
U04525,R05829
U04664,R01720
U01780,R01362
U04394,R04861
U01760,R00436
U05945,R03299
U07040,R00073
U02141,R00034
U06059,R01812
U00656,R05400
U01044,R06006
U01114,R01677
U05330,R02965
U01766,R04058
U06307,R02710
U05144,R03436
U03549,R01396
U04767,R04492
U07892,R05103
U04663,R04861
U01875,R01308
U00908,R04239
U04221,R01119
U03662,R05624
U03478,R02376
U01553,R01555
U01810,R00211
U01825,R05702
U02633,R03237
U05302,R03870
U01827,R03649
U01043,R04148
U00608,R05253
U02470,R00265
U00250,R00191
U03486,R01845
U01475,R01041
U08446,R01021
U06034,R03760
U00067,R05101
U07249,R04734
U05410,R05519
U03430,R05897
U01855,R02949
U03049,R00773
U07356,R00705
U04419,R00922
U05382,R02954
U02271,R06246
U01550,R00698
U06120,R00710
U06792,R02966
U02800,R04818
U01046,R03237
U04149,R02413
U00169,R01614
U04236,R00784
U06246,R01922
U01362,R00402
U07868,R01618
U04606,R06050
U07433,R06263
U02236,R04030
U02385,R02925
U06694,R01299
U02393,R00679
U03030,R00079
U01343,R00216
U07175,R00180
U02355,R02646
U03185,R01977
U03279,R03872
U03142,R03727
U04956,R03206
U06764,R01676
U02021,R02519
U00728,R02430
U02058,R02192
U05228,R04045
U06682,R00093
U07735,R05989
U06965,R05481
U06543,R02330
U03410,R01445
U05646,R05927
U07382,R03963
U05579,R01596
U07747,R05001
U04640,R05698
U06672,R01815
U06543,R00957
U01696,R02501
U04412,R00051
U07548,R01155
U06997,R02972
U06823,R00184
U03803,R05858
U07568,R01582
U04338,R05177
U00762,R05679
U02963,R03829
U02485,R02047
U04995,R02249
U06379,R04503
U08396,R06414
U01486,R06695
U07459,R00599
U04528,R01437
U05235,R00466
U08153,R06636
U04119,R01449
U00704,R04898
U08009,R00969
U03079,R06234
U06547,R06393
U05371,R06281
U00123,R04513
U07403,R00453
U04199,R03373
U03949,R02214
U06353,R00345
U00638,R04503
U07749,R04003
U06272,R03939
U00869,R01322
U00039,R03781
U05281,R00498
U06852,R03442
U01128,R02110
U03032,R00059
U07641,R03445
U07873,R04958
U00893,R03637
U01540,R03661
U06890,R02137
U01074,R01792
U04329,R05569
U00412,R00582
U03081,R01368
U04139,R06533
U05434,R06387
U05144,R01819
U01027,R02609
U05299,R02568
U03853,R05863
U04376,R00844
U01501,R00700
U03827,R06598
U04889,R02754
U02043,R00193
U03650,R03487
U01739,R04273
U06899,R00729
U04338,R00595
U06632,R06609
U07490,R05750
U01245,R06148
U02270,R06174
U03668,R02278
U03605,R02606
U07396,R00177
U01464,R03869
U04347,R06257
U06516,R04966
U01136,R00803
U03070,R02096
U08163,R03937
U02903,R00637
U05511,R03564
U04269,R01975
U05553,R06460
U06073,R03744
U07846,R03484
U06440,R05440
U02140,R05287
U01627,R06647
U05698,R03101
U03918,R06049
U06856,R05422
U01917,R02671
U02064,R02921
U05911,R04246
U01039,R04913
U01005,R01660
U03912,R02988
U06050,R01747
U03379,R06016
U02769,R02334
U03086,R06209
U00608,R05623
U07272,R03090
U07680,R03098
U08003,R04762
U02174,R04468
U00627,R06647
U06875,R03454
U01980,R05410
U05063,R01385
U06502,R01739
U03304,R05182
U00571,R02848
U03915,R00864
U00609,R01840
U06041,R04234
U08270,R04904
U06954,R03423
U04614,R00001
U07248,R06532
U03977,R04707
U07191,R03557
U01908,R03249
U01875,R05215
U08253,R01639
U05752,R05309
U04394,R06448
U04202,R01447
U01451,R01955
U03693,R05276
U00712,R03220
U05813,R05641
U00634,R04828
U05144,R01012
U01401,R04850
U07446,R02833
U08299,R05134
U01042,R04255
U04425,R00355
U02759,R05163
U07884,R01848
U03728,R04424
U07575,R00792
U05347,R04258
U07057,R03461
U04180,R04946
U00086,R03678
U02437,R04930
U00911,R05676
U04667,R02173
U03278,R06582
U05945,R06444
U06211,R04104
U03454,R02754
U01621,R03602
U03280,R00585
U08012,R00902
U04562,R00802
U05537,R02299
U05100,R01527
U05448,R04207
U00659,R02404
U00240,R00325
U06244,R05235
U01384,R04169
U06468,R02575
U07862,R03905
U03829,R04650
U07192,R01103
U01037,R01785
U04387,R01103
U01691,R04391
U04014,R05187
U01795,R02632
U04664,R00424
U02264,R00902
U05562,R01379
U02436,R00013
U02249,R04066
U07067,R03851
U04243,R05652
U04827,R00407
U00700,R03036
U06543,R06148
U00234,R05388
U00360,R04027
U01609,R00397
U06958,R04635
U08312,R00522
U03327,R02134
U03000,R02549
U00475,R00220
U04877,R05110
U03615,R06269
U07849,R05208
U00729,R04991
U04323,R02091
U03625,R00156
U02820,R06680
U00042,R02410
U05740,R05304
U06272,R05660
U03189,R04415
U06692,R05311
U06276,R04390
U04682,R02328
U08427,R04789
U03272,R02733
U05966,R01074
U00629,R06078
U07984,R00805
U08340,R00196
U07507,R06434
U08364,R05032
U03058,R05087
U04051,R01553
U01119,R03880
U00227,R06350
U02008,R04709
U06315,R00867
U01135,R05713
U03838,R02163
U00303,R05804
U02866,R05316
U07934,R00535
U04353,R06349
U02143,R06313
U07174,R02524
U05398,R00999
U05917,R01863
U06598,R01335
U07908,R05702
U03747,R01355
U03196,R05352
U04295,R05175
U08014,R02481
U07985,R04066
U04962,R03354
U06911,R05300
U01074,R00470
U07802,R02477
U00978,R04444
U05993,R01926
U01112,R03912
U04558,R02110
U01682,R03251
U05960,R01625
U06943,R00077
U02324,R01016
U05353,R04065
U05715,R00925
U06633,R00454
U04860,R05513
U00425,R03784
U05017,R04134
U01221,R06309
U00607,R03996
U07428,R04624
U01276,R01165
U02684,R04794
U06554,R02379
U03234,R01590
U00074,R03564
U01503,R03836
U02769,R04053
U01071,R02606
U03291,R03520
U00583,R00595
U01172,R02577
U02018,R00944
U04491,R04844
U02734,R06252
U05331,R01685
U02327,R05869
U07345,R05895
U00614,R03887
U08242,R04543
U07313,R00389
U04020,R05320
U02585,R02883
U05780,R03484
U02421,R03005
U02336,R03938
U06410,R05821
U07061,R06115
U00585,R04199
U06675,R00598
U07415,R00189
U00038,R00798
U02587,R03209
U06062,R02504
U02583,R04420
U04722,R06145
U04820,R06558
U04207,R03070
U02307,R05337
U00250,R05656
U07486,R05060
U08284,R04361
U07337,R05622
U04622,R02540
U04979,R06454
U00704,R04205
U01274,R04981
U08150,R04744
U05360,R00305
U02811,R04279
U03918,R04064
U07275,R00393
U03599,R03671
U07817,R04036
U06516,R00942
U01458,R01355
U06846,R03301
U07675,R03744
U06027,R05554
U07526,R02052
U07304,R03785
U07884,R01136
U00226,R00633
U02531,R03318
U07947,R03998
U05491,R04261
U06226,R05870
U06093,R02891
U05769,R02954
U05573,R01832
U03814,R02300
U00057,R00789
U08227,R06692
U05056,R05412
U00218,R02214
U05467,R05473
U00052,R03022
U01827,R03721
U06559,R05664
U01212,R03715
U03450,R00089
U03821,R00620
U02495,R05278
U00283,R00611
U07023,R02190
U04080,R02637
U08239,R04449
U08441,R00731
U07300,R05609
U07672,R03560
U07645,R02714
U03491,R01007
U02625,R00156
U04267,R01215
U05434,R03916
U07552,R00397
U04053,R03708
U06186,R01571
U08061,R06088
U08318,R03296
U03132,R02695
U07710,R05403
U02937,R03055
U08151,R04178
U05955,R03268
U01936,R01372
U07338,R04974
U05316,R06160
U00765,R02024
U00123,R01591
U04833,R04241
U06166,R02670
U07873,R04074
U07316,R03420
U08029,R01497
U07985,R04246
U00628,R05828
U03446,R01590
U02100,R03027
U06059,R03474
U07183,R03013
U04428,R04225
U00667,R03046
U04067,R03593
U00200,R02454
U01128,R01573
U00406,R02527
U08008,R00394
U02404,R02015
U06226,R02105
U04227,R04097
U01608,R06514
U03385,R00638
U07448,R00341
U07374,R01614
U00068,R06527
U03051,R01276
U00865,R05096
U06051,R02702
U02205,R01958
U04607,R04394
U00133,R00288
U00177,R05468
U07242,R05271
U05061,R01625
U01522,R04203
U06783,R06071
U00501,R00438
U00188,R03266
U01667,R01206
U00010,R01222
U05496,R02837
U06655,R00220
U07292,R02964
U02217,R03023
U05518,R01858
U02397,R04563
U02151,R01795
U03354,R02944
U05799,R06287
U04128,R00609
U04739,R03120
U01231,R01702
U02970,R04055
U03054,R05796
U05354,R00056
U00588,R05706
U02136,R04200
U05193,R02105
U05168,R02701
U00728,R05457
U07811,R05709
U01959,R00401
U00696,R02053
U08446,R01506
U06379,R00040
U00613,R06598
U01837,R01427
U03553,R04346
U07578,R02785
U04365,R04333
U01296,R06252
U07598,R04099
U00740,R05416
U00412,R05333
U01840,R00559
U04995,R05820
U00429,R03390
U08166,R01910
U03715,R00654
U05699,R04665
U00986,R06661
U02624,R00845
U05114,R03010
U07686,R04619
U06630,R04702
U06617,R00833
U06459,R01792
U03403,R00857
U01441,R01680
U04393,R00504
U04315,R05042
U05256,R05746
U03572,R00960
U06052,R05343
U02896,R03200
U06251,R06366
U05105,R00735
U00822,R01565
U02136,R06550
U07224,R01292
U05996,R00077
U04939,R02546
U04992,R00213
U00791,R04422
U02116,R02547
U05592,R03135
U05847,R05020
U08043,R04391
U00837,R02021
U04935,R05303
U00513,R01752
U04984,R01198
U04779,R05309
U01595,R06511
U02201,R01860
U05033,R06109
U04464,R06253
U00368,R04234
U01183,R00083
U08467,R02261
U03708,R01078
U01338,R00749
U01724,R03593
U06762,R01187
U02569,R01772
U01348,R05283
U02957,R06496
U01682,R05421
U08298,R05299
U03715,R01936
U05105,R02769
U01885,R01021
U05445,R03661
U08407,R02064
U02507,R02235
U07918,R03580
U02464,R05054
U05365,R02672
U07225,R00293
U00734,R03561
U06584,R03947
U07816,R03501
U03118,R05000
U01919,R02410
U07943,R03135
U04649,R06126
U08291,R05491
U06999,R04106
U02713,R02224
U03500,R06267
U07153,R03688
U03064,R01508
U04964,R04786
U05747,R04122
U07526,R04933
U05004,R05529
U03300,R05002
U00381,R03721
U02967,R02168
U04075,R06404
U02429,R02569
U08456,R05094
U06050,R06511
U03575,R00357
U05269,R03395
U07023,R03540
U06553,R00469
U07033,R04136
U02798,R06579
U00305,R02762
U04723,R06545
U04019,R04338
U01567,R00345
U01106,R03804
U03303,R05168
U02773,R04674
U01415,R04400
U06756,R06088
U02704,R04125
U04667,R03328
U04215,R03147
U07923,R04738
U00422,R01381
U00913,R01260
U06140,R03695
U08147,R02355
U00857,R01966
U03562,R03774
U02307,R00888
U08387,R05860
U03425,R01412
U03142,R01401
U07106,R05601
U02066,R03846
U07978,R05169
U06542,R05198
U00368,R04628
U03814,R02929
U04396,R00112
U02019,R02707
U00728,R05000
U04273,R05215
U05252,R02071
U08239,R04708
U07167,R01431
U07896,R04387
U03115,R02963
U00754,R03638
U02097,R02996
U07751,R04898
U02182,R00558
U01152,R04063
U01964,R03207
U07634,R05105
U03360,R00783
U03142,R00884
U00857,R03764
U06637,R03500
U02540,R05047
U00734,R01621
U06837,R02283
U06702,R04910
U05847,R02509
U03142,R03360
U03086,R04156
U03530,R05995
U05281,R03237
U00142,R04837
U00615,R00295
U00853,R02160
U08368,R02964
U07673,R06285
U05389,R06440
U02338,R02545
U03001,R04103
U03420,R02357
U00109,R01215
U02891,R04708
U04090,R01889
U02253,R00484
U06408,R00731
U08246,R04551
U08472,R06633
U06931,R02223
U04794,R04160
U06986,R05266
U04199,R03862
U02747,R03425
U07482,R06436
U05537,R04200
U03772,R04877
U05583,R02578
U05871,R03496
U02253,R01851
U05570,R02305
U05182,R05461
U02773,R06558
U03161,R02649
U06031,R06071
U00194,R02578
U01893,R00656
U06623,R00694
U01029,R02991
U04349,R02227
U08417,R03864
U00384,R02420
U01072,R03042
U03110,R01033
U00653,R06632
U07809,R00857
U02084,R05232
U00643,R00426
U02633,R03442
U04373,R06682
U03085,R00130
U03587,R06092
U03945,R04479
U05954,R04425
U00169,R06015
U00700,R05224
U04469,R05323
U03643,R02614
U03435,R00679
U03626,R01444
U05573,R06144
U01269,R04422
U01646,R06033
U02030,R02446
U03669,R04140
U06440,R03106
U00474,R04964
U02773,R03762
U06754,R01813
U07357,R01615
U03730,R04512
U00267,R00454
U00600,R03508
U01871,R01758
U01029,R06499
U07848,R05018
U00463,R00583
U07979,R00856
U00501,R04705
U05927,R05524
U08084,R06181
U02520,R05201
U06344,R05678
U01598,R03069
U06446,R03258
U07531,R00445
U01075,R00491
U07862,R05076
U01639,R05339
U08296,R02776
U07485,R06358
U03123,R02838
U02308,R04486
U08318,R05434
U02106,R03582
U06789,R00392
U05034,R00561
U04384,R06438
U02740,R04960
U07740,R00882
U08432,R05939
U02053,R03221
U03353,R03466
U01847,R01912
U01867,R03507
U03956,R02766
U00490,R03986
U08139,R01081
U00147,R00733
U04572,R02574
U02052,R01335
U03148,R04858
U00737,R00568
U00958,R03418
U00900,R01194
U00630,R06213
U03392,R00184
U01653,R04631
U07844,R06020
U06569,R01333
U02058,R04407
U07923,R04121
U02166,R03743
U06573,R05439
U03414,R01409
U03580,R04176
U02736,R05336
U05451,R02954
U04437,R00571
U01071,R00219
U05903,R01331
U02336,R05680
U00667,R04192
U03558,R00961
U03804,R05251
U04528,R04212
U06205,R05621
U00051,R01471
U03615,R02017
U07434,R00166
U04950,R03617
U03325,R02792
U08382,R02739
U05276,R02439
U04491,R00397
U06274,R03058
U05799,R02259
U03785,R05712
U00270,R06159
U06944,R05199
U01164,R04926
U07045,R01953
U08417,R00811
U06440,R00314
U02682,R01625
U01544,R01891
U01285,R02632
U07263,R02326
U06364,R04568
U05268,R00827
U04534,R01695
U04586,R01832
U04752,R02541
U05818,R01907
U06665,R01348
U00671,R03988
U00009,R05200
U01844,R05944
U07581,R00444
U08435,R01419
U00913,R05192
U03929,R04771
U07370,R01377
U05674,R04415
U03821,R05560
U02811,R01180
U05537,R06503
U04541,R05486
U03647,R00450
U03558,R03998
U00064,R01697
U06728,R03007
U06949,R00375
U00509,R00641
U06740,R05422
U08293,R02270
U04987,R06287
U02904,R01273
U01029,R06305
U07364,R01607
U06621,R02594
U00608,R01848
U05269,R02165
U04651,R01728
U05476,R00180
U01032,R00513
U06728,R02867
U02306,R01677
U03963,R01068
U04545,R02316
U03588,R05165
U05063,R01497
U06943,R05870
U06262,R05620
U00149,R02473
U01545,R04000
U04827,R04134
U04428,R02234
U03575,R03046
U04179,R02078
U05278,R01538
U05442,R03897
U00855,R04374
U01321,R05319
U08190,R02609
U06655,R00242
U04452,R04499
U02033,R06521
U06680,R06336
U05683,R05390
U06822,R01675
U02946,R00414
U06086,R03038
U01084,R03588
U07094,R06554
U07341,R04709
U00209,R00409
U02118,R01700
U03196,R02324
U06173,R00040
U05948,R02960
U07228,R05027
U01340,R01356
U01803,R00738
U03164,R00785
U08471,R03792
U07452,R02610
U07626,R01112
U06052,R01155
U02335,R05728
U06105,R00972
U01499,R00535
U00509,R01123
U08068,R05647
U02999,R06564
U01919,R05119
U02065,R00908
U01858,R00516
U00553,R05463
U00506,R03776
U04095,R02283
U01490,R00741
U07179,R02900
U04770,R01550
U03726,R00884
U02415,R03508
U02030,R04189
U06698,R03279
U01640,R04241
U02325,R04525
U00393,R06291
U05698,R00087
U01555,R01802
U02585,R00922
U00074,R00529
