recruitment_seq,address_seq1,address_seq2,address_seq3,career_end,career_start,check_box_keyword,education,major_task,qualifications,text_keyword
R00351,3.0,,,0,0,2101;2108;2201;2707,4,2,2,
R02444,3.0,20.0,,0,0,2101;2108;2110;2203;2501;2507;2707,3,2,1,
R04402,3.0,,,0,0,2507;2707,3,2,1,
R02809,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,2,2,1,
R02569,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R06098,3.0,,,0,0,2101;2104;2105;2707;3008;3099,3,7,1,
R02250,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R06657,3.0,,,0,0,2507;2707,3,2,1,
R00760,3.0,,,0,0,2507;2707,3,2,2,
R02385,3.0,,,0,0,2101;2104;2105;2707;3008;3099,3,2,2,
R05111,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R02497,3.0,,,0,0,2507;2703;2707,2,8,1,
R04627,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R02961,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R05971,3.0,,,0,0,2507;2703;2707,3,2,2,소재디자이너
R00757,3.0,,,0,0,2507;2707,2,2,2,디자이너;여성복
R02984,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R02103,3.0,,,0,0,2507;2707,4,2,1,
R01365,3.0,,,0,0,2507;2707,3,2,1,
R02883,3.0,,,0,0,2101;2104;2201;2204;2205;2302;2303;2707,2,2,2,
R00491,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R01198,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2204;2205,3,2,1,
R05474,3.0,,,0,0,2507;2703;2707;2810,4,2,2,
R06461,3.0,,,0,0,2101;2108;2201;2707,3,2,2,여성복MD
R06050,3.0,,,0,0,2101;2108;2201;2707;2810,2,2,1,
R02793,3.0,,,0,0,2204;2205;2707,4,2,2,
R00752,3.0,,,0,0,2707,4,2,2,
R00307,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R01145,3.0,,,0,0,2507;2703;2707,3,2,2,
R05311,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R02564,3.0,,,0,0,2507;2707,4,2,1,디자인실;잇미샤
R03490,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R03293,3.0,,,0,0,2507;2707,3,2,1,
R03243,3.0,,,0,0,2201;2204;2205;2707,4,2,1,영업;대리점
R00348,3.0,,,0,0,2507;2707;2799,4,2,1,
R03733,3.0,,,0,0,2201;2204;2205;2707,4,2,1,백화점영업;아웃도어영업
R04631,3.0,,,0,0,2507;2707,3,2,1,
R06654,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R05924,3.0,,,0,0,2101;2201;2204;2205;2507;2707,3,2,1,
R03356,3.0,,,0,0,2507;2707,3,10,2,
R01628,3.0,,,0,0,2101;2108;2109;2111;2201;2203;2204;2205;2707,2,2,1,
R03787,3.0,,,0,0,2204;2205;2507;2707,4,2,1,
R01596,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,4,2,1,
R00746,3.0,,,0,0,2101;2108;2201;2204;2205;2707,2,2,2,
R03951,5.0,,,0,0,2201;2204;2205;2707,4,2,2,
R02113,3.0,,,0,0,2101;2108;2201;2707,4,2,1,상품기획
R04120,3.0,,,0,0,2507;2707,4,2,1,
R05204,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R03199,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,의류;매장관리;섬유;백화점영업;영업;의류영업;영업관리
R05775,3.0,,,0,0,2101;2108;2109;2201;2203;2204;2205;2302,2,2,1,
R02360,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R05978,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R04116,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R04506,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,
R00354,3.0,,,0,0,2507;2201,3,2,1,
R06275,3.0,,,0,0,2507;2707,2,2,1,
R00879,3.0,,,0,0,2101;2107;2108;2109;2201;2203;2204;2205,3,2,1,
R05887,3.0,,,0,0,2707;2507,2,2,2,의류;의상;섬유;의복
R05498,3.0,,,0,0,2108;2707;2810,3,2,2,DISCOVERY;아웃도어;생산관리
R03518,3.0,,,0,0,2507;2707,3,2,1,
R03932,3.0,,,0,0,2507;2707,2,2,2,
R04360,3.0,,,0,0,2507;2707,4,2,2,
R00333,3.0,,,0,0,2507;2707,3,2,1,
R02485,3.0,,,0,0,2101;2107;2109;2110;2201;2203;2204;2205,3,2,1,
R00245,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,비엔엑스;BNX;MD;영업MD
R02593,3.0,,,0,0,2707;2101,3,1,1,
R04062,3.0,,,0,0,2507;2707,3,2,2,
R06226,3.0,,,0,0,2101;2108;2201;2204;2205;2507;2707,4,2,1,
R00189,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R01942,3.0,,,0,0,2507;2703;2707,3,2,1,
R03928,3.0,,,0,0,2501;2507;2707,3,8,1,
R02992,3.0,,,0,0,2101;2201;2204;2205;2707,4,8,1,
R03469,3.0,,,0,0,2101;2108;2201;2707,4,2,1,MD;기획MD;시선인터내셔널;잇미샤;ITMICHAA;여성패션;패션
R02262,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R02633,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,
R05753,3.0,,,0,0,2507;2707;2810,2,2,1,
R00775,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R03452,3.0,,,0,0,2108;2707;2810,3,2,1,
R02129,3.0,,,0,0,2101;2104;2105;2707;3008;3099,4,2,1,
R02330,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R01910,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R01278,3.0,,,0,0,2101;2105;2707,4,2,1,
R04598,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R03371,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R05724,3.0,,,0,0,2507;2707,3,2,1,
R02440,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R05504,3.0,,,0,0,2204;2299,4,2,1,
R03197,3.0,,,0,0,2101;2108;2201;2707,3,7,1,남성복;피팅모델;남성복MD
R05855,3.0,,,0,0,2101;2108;2201;2204;2205;2707,4,2,1,
R00854,3.0,,,0,0,2108;2109;2707;2810,2,2,1,
R02672,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R01492,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2204;2205;2707,4,2,2,
R03702,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,DISCOVERY;유통MD팀
R03704,3.0,,,0,0,2206;2199;2104;2102;2105;3006;3005,3,2,2,
R04850,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R03210,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R04775,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R03864,5.0,,,0,0,2101;2108;2109;2201;2203;2204;2205;2302,3,2,2,
R06284,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R04926,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R00641,3.0,,,0,0,2101;2108;2201;2204;2205;2707,2,2,1,
R02879,3.0,,,0,0,2507;2707,4,2,1,
R05748,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R06238,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,영업MD
R02206,3.0,,,0,0,2507;2707,3,2,1,
R04383,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R03204,3.0,,,0,0,2507;2707,3,2,2,
R01754,3.0,,,0,0,2108;2110;2203;2204;2299;2707;2810,3,2,1,
R06437,3.0,,,0,0,2507,3,2,1,
R00338,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R04681,3.0,,,0,0,2201;2204;2205;2707,3,2,2,
R06207,3.0,,,0,0,2201;2204;2205;2707,3,2,2,
R01552,3.0,,,0,0,2101;2109;2110;2203;2707,4,2,1,
R03324,3.0,,,0,0,2507;2707,3,2,1,
R02426,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R05598,3.0,,,0,0,2507;2707,3,2,1,
R03211,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2204;2205;2302;2707,2,2,1,
R02994,3.0,,,0,0,2507;2707,4,2,1,
R00187,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R02543,3.0,,,0,0,2507;2707;2810,4,2,1,
R06638,3.0,,,0,0,2204;2201,4,2,1,
R01559,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R00801,3.0,,,0,0,2507;2707;2810,3,2,1,
R04499,3.0,,,0,0,2507;2707,4,2,2,
R00771,3.0,,,0,0,2101;2109;2110;2203;2707,2,2,1,
R03328,3.0,,,0,0,2507;2707,3,2,0,
R02512,3.0,,,0,0,2110;2201;2204;2205;2707,2,2,1,
R02659,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R01327,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R04266,3.0,,,0,0,2101;2108;2201;2707,2,2,1,
R05696,3.0,,,0,0,2507;2707,3,2,1,스타일디자인(피팅)
R05508,3.0,,,0,0,2101;2108;2201;2204;2205;2501;2507;2707,3,2,2,
R03937,3.0,,,0,0,2507;2707,3,2,1,
R01886,3.0,,,0,0,2507;2707,3,2,1,
R00428,3.0,5.0,,0,0,2101;2102;2108;2201;2707,3,2,2,
R01817,3.0,,,0,0,2101;2201;2204;2205;2707,3,8,1,
R05614,3.0,,,0,0,2507;2707,3,2,2,여성의류;디자이너;캐주얼
R00032,3.0,,,0,0,2109;2203;2302;2707,3,2,2,
R05909,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R05935,5.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,3,2,1,
R03016,3.0,,,0,0,2507,4,2,1,
R05328,3.0,,,0,0,2101;2108;2201;2507;2707,3,2,1,
R05188,3.0,,,0,0,2507;2703;2707,4,8,1,
R03586,3.0,,,0,0,2201;2205,2,2,2,
R02544,3.0,,,0,0,2507;2707,4,2,2,
R05866,3.0,,,0,0,2101;2108;2201;2204;2205;2501;2507;2707;2810,2,2,2,
R02170,3.0,,,0,0,2101;2507,3,2,1,
R03265,3.0,,,0,0,2108;2110;2203;2204;2299;2707;2810,3,2,1,
R05774,3.0,,,0,0,2101;2108;2201;2204;2205;2302;2303;2507,4,2,2,
R03852,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R00893,3.0,,,0,0,2101;2108;2201;2707;2810,3,2,1,
R06677,3.0,,,0,0,2101;2507;2707,4,2,1,
R02996,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R00783,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R01035,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R02985,3.0,,,0,0,2101;2108;2201;2507;2703;2707,3,2,2,
R03623,3.0,,,0,0,2707;2703;2507,3,2,1,
R06689,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R02577,3.0,,,0,0,2101;2104;2109;2110;2201;2203;2204;2205,2,2,2,
R03842,3.0,,,0,0,2507;2703;2707,3,8,2,
R03631,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,4,2,1,
R04608,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,
R05411,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R00103,3.0,,,0,0,2507,2,2,2,
R00021,3.0,,,0,0,2101;2108;2201;2707,2,8,1,에프앤에프;MD;디스커버리
R04058,3.0,,,0,0,2507;2707,3,2,2,
R01554,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R03466,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R06281,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R05210,3.0,,,0,0,2507;2707,3,2,2,
R01517,3.0,,,0,0,2101;2108;2201;2204;2205;2707;2507,3,2,1,
R04702,3.0,,,0,0,2101;2108;2201;2204;2205;2501;2507;2707,3,2,2,
R01469,3.0,,,0,0,2507;2707,4,2,1,
R06551,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R06439,3.0,,,0,0,2101;2201;2204;2205;2707,3,8,1,영업MD;인턴;MD;TANKUS;탱커스
R03687,3.0,,,0,0,2101;2108;2201;2707,2,2,2,
R01292,3.0,,,0,0,2507;2707,3,2,1,
R02180,3.0,,,0,0,2507;2703;2707,4,2,1,
R04526,3.0,,,0,0,2201;2204;2205;2707,2,2,1,영업;대리점
R05703,3.0,,,0,0,2101;2108;2201;2507;2707,2,2,1,
R05633,3.0,,,0,0,2101;2108;2201;2204;2205;2707,3,2,2,
R05440,3.0,,,0,0,2105;2204;2707,4,2,2,
R05201,3.0,,,0,0,2507;2707,4,2,1,
R01007,3.0,,,0,0,2201,3,2,1,
R01979,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R03792,3.0,,,0,0,2201;2204;2205;2707,4,2,1,거래처관리;매장관리;섬유;의류판매;영업관리
R06236,3.0,,,0,0,2201;2204;2506;2507;2707,2,2,2,
R00627,3.0,,,0,0,2507;2707,2,2,1,
R01265,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,3,2,2,해외바잉MD
R02326,3.0,,,0,0,2101;2104;2105;2707;3008;3099,4,2,1,
R03953,3.0,,,0,0,2108;2110;2707;2810,4,2,1,
R01383,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R04785,3.0,,,0,0,2101;2108;2201;2707,3,2,2,기획MD
R00089,3.0,,,0,0,2101;2104;2105;2204;2205;2707,2,2,2,
R06560,3.0,,,0,0,2507;2707,3,2,1,
R04364,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,의류;골프웨어;캐주얼;영업;아웃도어;스포츠웨어
R03271,5.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,4,2,1,
R02752,3.0,,,0,0,2507;2707,3,2,1,
R00985,3.0,,,0,0,2206;2199;2104;2102,3,2,1,
R03237,3.0,,,0,0,2507;2707;2810,2,2,2,
R03800,3.0,,,0,0,2503;2507;2707,2,2,2,
R03744,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R06590,3.0,,,0,0,2102;2103;2107;2108;2113;2201;2204;2205,3,2,2,
R04909,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R03804,3.0,,,0,0,2201;2204;2205;2707,3,2,1,백화점;매장관리;매출관리;영업
R03475,3.0,,,0,0,2507;2707,3,2,1,
R03759,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R05729,5.0,,,0,0,2507;2703;2707,3,2,1,
R05260,3.0,,,0,0,2201;2204;2205;2707,4,2,2,
R01301,3.0,,,0,0,2110;2507;2707,3,2,1,
R01892,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R05309,3.0,,,0,0,2507;2299;2204;2201;2199;2111,3,2,1,
R03369,3.0,,,0,0,2101;2108;2109;2201;2203;2302;2707,2,2,2,
R01564,3.0,,,0,0,2507;2707,3,8,2,
R01107,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R02366,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,2,
R01630,3.0,,,0,0,2707;2507;2201;2108;2101,4,2,1,
R05600,3.0,,,0,0,2204;2205;2501;2507;2707;3007,4,2,2,
R04046,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R00843,3.0,,,0,0,2507;2707,2,2,2,
R01351,3.0,,,0,0,2108;2109;2501;2507;2707;2810,4,2,1,
R03551,3.0,,,0,0,2707;2108;2507,2,2,1,
R02410,3.0,,,0,0,2101;2109;2201;2203;2204;2205;2206;2302;2303;2707,3,2,2,
R06078,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R05895,3.0,,,0,0,2108;2109;2707;2810,2,2,1,임가공;입출고);자재관리;생산원가;원부자재;업무;핸드링;운전;공장;생산(완사입;관리(발주;상품입출고;산출
R06457,3.0,,,0,0,2201,4,2,1,
R02935,3.0,,,0,0,2507;2707,3,2,1,니트디자인
R03423,3.0,,,0,0,2707;2507,4,2,1,
R06478,3.0,,,0,0,2101;2102;2108;2201;2707,3,2,1,
R01215,3.0,,,0,0,2507;2707,3,2,1,
R00685,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R04849,3.0,,,0,0,2101;2108;2201;2707;2810,2,2,1,
R06315,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R05141,3.0,20.0,,0,0,2204;2205;2507;2707;2810;3007,2,2,2,
R00560,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R02387,3.0,,,0,0,2507,4,2,2,
R06392,3.0,,,0,0,2101;2108;2201;2707,3,2,2,
R02420,5.0,,,0,0,2204;2205;2707,3,2,1,
R03516,3.0,,,0,0,2507;2707,4,8,1,
R06274,3.0,,,0,0,2507;2707,3,2,1,
R01597,3.0,,,0,0,2101;2108;2201;2707,2,2,1,MD;여성복;기획
R03401,3.0,,,0,0,2707;2507;2204;2201,3,2,1,
R00083,3.0,,,0,0,2101;2108;2201;2707,4,2,2,
R03156,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R02140,20.0,,,0,0,2507;2707,4,2,1,
R06504,3.0,,,0,0,2108;2507;2707;2810,2,2,2,
R00982,3.0,,,0,0,2101;2108;2201;2204;2205;2707,3,2,1,
R06362,3.0,,,0,0,2707;2204;2201,3,2,1,
R04894,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R02392,3.0,,,0,0,2205;2201,4,2,2,
R03255,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R06241,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R01626,3.0,,,0,0,2507;2707,3,2,1,
R01409,3.0,,,0,0,2507;2707,3,2,1,
R00204,3.0,,,0,0,2507;2707,3,2,1,
R05608,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R06183,3.0,,,0,0,2101;2104;2105;2108;2201;2204;2205;2302;2303;2707;3008;3099,4,2,1,
R03855,3.0,,,0,0,2507;2707,4,2,1,
R00723,3.0,,,0,0,2201;2204;2205;2507;2707,3,2,2,
R04497,3.0,,,0,0,2507;2703;2707,3,8,1,에프앤에프;MLB;소재
R05108,3.0,,,0,0,2108;2707;2810,2,2,1,
R05076,5.0,,,0,0,2108;2507;2703;2707;2810,2,2,2,
R02773,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R02907,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R04061,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R05316,3.0,,,0,0,2707;2507,4,2,1,
R05848,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R03637,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R00024,3.0,,,0,0,2507;2707,4,8,1,
R04845,3.0,,,0,0,2108;2707;2810,2,2,1,
R02138,3.0,,,0,0,2507;2707,4,2,1,
R02338,3.0,,,0,0,2108;2707;2810,3,2,1,
R00342,3.0,,,0,0,2101;2108;2201;2707,4,2,1,상품기획MD;기획MD;골프웨어MD
R00954,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R06628,3.0,,,0,0,2201;2204;2205;2707,2,2,1,영업;여성복;패션
R03390,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,영업관리
R03278,3.0,,,0,0,2101;2108;2113;2201;2204;2205;2707;3103;3199,2,2,1,
R04016,3.0,,,0,0,2107;2110;2201;2204;2205;2707,2,2,2,
R05536,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R06136,3.0,,,0,0,2101;2108;2201;2501;2507;2703;2707,2,2,2,
R04887,3.0,,,0,0,2507;2707,4,8,1,TECHNICAL;디자이너;테크니컬;DESIGNER;TD
R05087,3.0,,,0,0,2101;2108;2201;2707,4,2,2,상품기획;상품MD;MD;PAT;여성복MD
R03598,3.0,,,0,0,2101;2102;2108;2201;2204;2205;2507;2707,4,2,1,
R00797,3.0,,,0,0,2101;2108;2201;2707,3,8,1,
R01872,3.0,,,0,0,2507;2707,4,2,2,디자이너;여성복;여성복디자이너
R06264,3.0,,,0,0,2101;2110;2201;2204;2205;2707,2,2,1,
R05771,3.0,,,0,0,2507;2707,3,2,1,
R01144,5.0,,,0,0,2507;2703;2707;2810,3,2,1,
R01862,3.0,,,0,0,2201;2204;2507,4,2,1,
R03980,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,4,2,1,
R05455,3.0,,,0,0,2507;2707,4,2,1,
R04260,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R00594,3.0,,,0,0,2507;2707,4,2,1,
R05148,3.0,,,0,0,2507;2703;2707,4,2,2,
R05700,3.0,,,0,0,2507;2707,3,2,2,
R02910,3.0,,,0,0,2204;2205;2707,3,2,1,VMD;마케팅
R06029,3.0,,,0,0,2507,3,2,1,
R02888,3.0,,,0,0,2501;2507;2707,4,2,1,
R00540,3.0,,,0,0,2108;2109;2707;2810,2,2,1,
R00220,3.0,,,0,0,2108;2707;2810,4,2,1,상품기획;우븐;코오롱;생산MD
R02875,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R04708,3.0,,,0,0,2101;2108;2201;2507;2707,2,2,1,
R02611,3.0,,,0,0,2109,2,2,1,
R02276,3.0,,,0,0,2101;2108;2201;2501;2507;2703;2707,4,2,1,
R05179,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R00531,3.0,,,0,0,2101;2109;2110;2203;2707,4,2,1,
R04097,3.0,,,0,0,2204;2205;2707,4,2,2,
R05077,3.0,,,0,0,2507;2707,4,2,1,
R03307,3.0,,,0,0,2110;2707;2507,3,2,1,
R02685,3.0,,,0,0,2507;2707,3,2,1,
R04916,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R04547,3.0,,,0,0,2707;2507;2204,3,2,1,
R00818,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R04973,3.0,,,0,0,2101;2108;2201;2507;2707;2810,3,2,1,
R00969,3.0,,,0,0,2507;2707,4,2,1,위비스;신입;스포츠;디자이너;여성복;아웃도어;지센
R01906,3.0,,,0,0,2507,4,7,2,의류;의복;의상;남성복;스포츠의류
R06202,3.0,,,0,0,2507;2707,2,2,1,
R04917,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R03024,3.0,,,0,0,2507;2707,3,2,1,
R03701,3.0,,,0,0,2507;2707,3,2,1,
R03828,3.0,,,0,0,2101;2108;2201;2707,4,2,2,
R06187,3.0,,,0,0,2101;2108;2201;2707,4,2,2,
R06537,3.0,,,0,0,2707;2507,4,2,1,
R04753,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R02584,3.0,,,0,0,2507;2707,3,2,1,
R02417,3.0,,,0,0,2101;2109;2110;2203;2302;2707,4,2,1,바잉MD
R05808,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R00247,3.0,,,0,0,2507;2707,2,2,2,
R02942,3.0,,,0,0,2507;2204;2201,3,2,1,
R03796,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R01724,3.0,,,0,0,2101;2104;2105;2707;3008;3099,2,2,2,GUESSKOREA;VMD;GUESS
R00453,9.0,,,0,0,2807;2707;2203;2706,2,2,1,
R05925,3.0,,,0,0,2501;2507;2707;2810,2,2,1,
R03913,3.0,,,0,0,2507;2707;2810,2,2,1,
R05851,5.0,,,0,0,2201;2204;2205;2707,4,2,2,
R00203,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R03553,3.0,,,0,0,2101;2109;2110;2203;2707,4,2,1,
R01412,3.0,,,0,0,2507;2703;2707;2810,2,2,1,
R00048,3.0,,,0,0,2507;2707,3,2,1,
R02314,3.0,,,0,0,2507;2707,4,2,1,
R01384,3.0,,,0,0,2507;2707,4,2,1,
R05560,3.0,,,0,0,2507;2703;2707,4,2,2,
R04265,3.0,20.0,,0,0,2101;2108;2109;2110;2201;2203;2204;2299,2,2,2,
R01941,3.0,,,0,0,2101;2104;2105;2108;2201;2507;2707;3008,2,2,1,
R00319,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
