resume_seq,hischool_type_seq,hischool_special_type,hischool_nation,hischool_gender,hischool_location_seq,univ_type_seq1,univ_type_seq2,univ_transfer,univ_location,univ_major,univ_sub_major,univ_major_type,univ_score
U02287,21,일반고,공립,남여공학,7,5,5,0,11,,,9,70.0
U03047,0,기타,기타,기타,0,5,5,0,11,,,9,90.0
U07097,0,기타,기타,기타,0,5,5,0,15,수학정보통계학부,,0,80.0
U07031,21,일반고,공립,여자학교,6,5,5,0,9,,,9,70.0
U03937,0,기타,기타,기타,3,5,5,0,5,,,9,70.0
U01967,0,기타,기타,기타,0,5,5,0,3,,,9,80.0
U07185,21,일반고,사립,남자학교,5,5,5,0,15,,,9,80.0
U07705,21,일반고,사립,여자학교,14,5,5,0,11,의상섬유학부섬유산업학과,,4,80.0
U02936,21,일반고,공립,여자학교,3,5,5,0,17,산업심리학과,,3,80.0
U00322,21,일반고,공립,여자학교,10,3,5,0,10,,,19,70.0
U02471,0,기타,기타,기타,0,5,7,0,3,,,5,80.0
U06027,21,일반고,공립,남여공학,3,5,5,0,3,,,3,80.0
U04635,8,특목고,공립,남자학교,15,3,6,0,3,,,19,0.0
U07766,0,기타,기타,기타,0,5,5,0,3,,,9,80.0
U00026,21,일반고,사립,남자학교,15,5,5,0,5,,,3,70.0
U02806,21,일반고,사립,남자학교,14,3,5,0,14,,,3,90.0
U06412,0,기타,기타,기타,0,5,5,0,3,,,9,70.0
U01983,16,특성화고,사립,여자학교,11,5,5,0,11,,,4,80.0
U00172,21,일반고,공립,남여공학,11,5,5,0,11,,,4,80.0
U00149,0,기타,기타,기타,0,5,5,0,5,초등특수교육과,,17,80.0
U00432,21,일반고,공립,남여공학,3,5,5,0,3,,,9,80.0
U03297,21,자율고,사립,남여공학,3,5,5,0,3,,,9,80.0
U06575,21,일반고,공립,여자학교,4,5,5,0,5,,,19,80.0
U04289,0,기타,기타,기타,0,5,5,0,3,,중국어과,3,80.0
U00474,21,자율고,공립,남여공학,7,5,5,0,3,,,9,80.0
U02067,18,특성화고,공립,남여공학,13,5,5,0,3,,,9,80.0
U01795,0,기타,기타,기타,0,5,5,0,5,연극학과무대디자인,,9,80.0
U02206,21,일반고,사립,여자학교,7,0,0,0,0,,,9,80.0
U03396,21,일반고,공립,남자학교,13,4,5,0,13,,,4,70.0
U01109,21,일반고,사립,여자학교,8,5,5,0,3,,,0,80.0
U07615,21,일반고,공립,여자학교,3,5,10,0,5,,,0,80.0
U01581,21,일반고,사립,남자학교,3,0,0,0,0,선교학,,5,20.0
U05068,2,특성화고,공립,남여공학,7,5,5,0,9,,,9,80.0
U08053,23,특목고,공립,남여공학,15,5,5,0,15,스포츠모델학과,,9,90.0
U04029,21,일반고,사립,여자학교,3,5,5,0,3,,,0,80.0
U01099,21,일반고,사립,남자학교,3,5,5,0,3,,,9,80.0
U00244,0,기타,기타,기타,8,5,5,0,8,디자인학부,,9,80.0
U00716,21,자율고,사립,여자학교,3,0,0,0,0,,,9,90.0
U00189,21,일반고,사립,여자학교,3,5,5,0,5,,,19,70.0
U03630,21,일반고,공립,남자학교,9,5,5,0,7,위성정보공학과,,4,90.0
U01961,21,일반고,사립,남여공학,5,5,5,0,5,디자인공예학부도예전공,,9,70.0
U05913,0,기타,기타,기타,0,5,5,0,17,,,9,80.0
U00252,21,일반고,공립,남여공학,5,5,10,0,5,,,9,90.0
U02448,21,일반고,사립,남자학교,3,5,5,0,18,,,9,80.0
U01877,21,일반고,사립,남여공학,17,5,5,0,10,의류학부,,3,20.0
U07176,21,자율고,사립,남자학교,3,5,5,0,15,물류유통,,0,70.0
U01738,21,자율고,사립,남자학교,3,5,5,0,3,,,8,70.0
U01212,21,일반고,사립,남자학교,10,5,5,0,17,,,4,60.0
U06396,21,자율고,공립,남자학교,10,5,5,0,17,,,9,90.0
U03062,21,일반고,공립,남여공학,5,5,5,0,3,생명과학부,,16,50.0
U07032,21,일반고,사립,여자학교,13,5,5,0,3,,,8,20.0
U03761,21,일반고,사립,여자학교,3,5,5,0,3,통계학과,,4,60.0
U02244,21,자율고,사립,남자학교,3,5,5,0,3,행정,,5,80.0
U03137,21,일반고,사립,남자학교,3,5,5,0,3,,,16,70.0
U08275,21,일반고,공립,남자학교,9,0,0,0,0,,,9,3.46
U00135,0,기타,기타,기타,5,5,5,0,18,공예디자인섬유파트,,9,80.0
U03056,21,일반고,사립,남자학교,3,0,0,0,0,,,3,80.0
U02914,21,일반고,사립,여자학교,13,5,5,0,17,,,9,90.0
U03571,21,자율고,공립,여자학교,17,5,5,0,17,,,4,20.0
U06942,21,일반고,공립,여자학교,3,5,10,0,5,의상과,,8,70.0
U02764,0,기타,기타,기타,17,5,5,0,17,,,9,80.0
U01583,0,기타,기타,기타,0,0,0,0,0,,,5,60.0
U08299,21,일반고,공립,남여공학,0,5,5,0,7,,,9,80.0
U05208,21,일반고,사립,여자학교,3,3,5,0,7,,패션무역,4,70.0
U08155,21,일반고,사립,여자학교,13,5,5,0,7,,,9,80.0
U07043,21,자율고,사립,남자학교,3,5,5,0,17,,,0,70.0
U05369,21,일반고,사립,여자학교,3,5,5,0,11,,,19,70.0
U05010,0,기타,기타,기타,0,5,5,0,3,,,0,80.0
U06140,21,일반고,공립,남여공학,3,3,5,0,4,,,9,80.0
U05400,19,특목고,사립,남여공학,3,5,5,0,3,섬유예술과,,9,80.0
U03693,21,일반고,공립,남여공학,9,5,5,0,7,,,9,70.0
U04072,21,일반고,사립,남자학교,3,5,5,0,3,,,9,60.0
U04463,21,일반고,공립,남여공학,3,5,5,0,3,,,10,70.0
U00042,21,일반고,사립,여자학교,15,5,5,0,15,,,4,80.0
U07158,21,일반고,사립,여자학교,3,5,5,0,3,,,10,70.0
U04567,21,일반고,사립,여자학교,11,0,0,0,0,,,9,100.0
U01372,21,일반고,사립,여자학교,3,5,5,0,3,독어독문,,8,70.0
U01783,21,자율고,사립,여자학교,3,5,5,0,3,,,9,60.0
U05733,0,기타,기타,기타,0,5,5,0,4,,,3,70.0
U05457,21,일반고,공립,여자학교,13,5,5,0,17,,,9,80.0
U02139,21,일반고,사립,여자학교,7,5,5,0,9,패션디자인차석입학,,9,70.0
U00382,21,일반고,공립,남여공학,14,5,5,0,8,,,4,80.0
U07171,21,일반고,사립,남자학교,3,5,5,0,3,,,2,60.0
U05835,21,일반고,공립,남여공학,11,5,5,0,3,의류학과심화전공수료,,4,80.0
U08041,21,일반고,공립,여자학교,3,5,5,0,5,,,9,80.0
U01034,21,자율고,공립,여자학교,9,0,0,0,0,Fashiondesign,,9,80.0
U06662,21,일반고,공립,여자학교,13,5,5,0,3,도자공예학과,,9,80.0
U01029,21,일반고,공립,남여공학,3,5,5,0,5,,일어일문학,8,80.0
U06130,21,일반고,사립,여자학교,10,5,5,0,10,,,4,70.0
U07619,21,일반고,공립,남여공학,5,5,5,0,5,,,3,70.0
U02120,0,기타,기타,기타,0,0,0,0,0,비지니스커머스학기수료,,3,70.0
U01650,21,일반고,사립,여자학교,11,5,5,0,10,,,9,80.0
U03407,21,일반고,사립,여자학교,15,0,0,0,0,,,9,80.0
U06084,0,기타,기타,기타,0,5,5,0,3,호텔관광경영학,,3,90.0
U00642,21,일반고,공립,남여공학,5,5,5,0,3,,,5,70.0
U07192,21,일반고,공립,남여공학,5,5,5,0,3,,의류학과패션비즈니스,8,80.0
U01410,0,기타,기타,기타,0,5,5,0,8,,,3,90.0
U03811,21,일반고,사립,여자학교,3,5,5,0,10,공연영상학부사진영상CG,,9,70.0
U05853,21,일반고,사립,남여공학,5,5,5,0,5,,,3,80.0
U00054,21,일반고,사립,여자학교,3,0,0,0,0,Biology,,4,70.0
U05809,21,일반고,사립,남자학교,9,5,5,0,9,,,3,70.0
U04249,21,일반고,사립,남여공학,5,5,5,0,17,,,8,70.0
U03318,0,기타,기타,기타,0,0,0,0,0,전자상거래무역학과,,3,80.0
U03293,21,일반고,사립,여자학교,3,5,5,0,3,,,4,80.0
U01972,21,일반고,공립,남자학교,3,0,0,0,0,종합유통경영,,5,0.0
U06766,21,일반고,공립,남여공학,3,5,5,0,3,,,19,80.0
U05419,21,일반고,사립,남자학교,3,5,5,0,4,,,3,70.0
U07999,21,일반고,사립,여자학교,10,5,5,0,9,,,0,80.0
U00542,23,특목고,공립,남여공학,13,5,5,0,3,,,17,90.0
U03961,21,일반고,사립,여자학교,18,5,5,0,18,,,9,60.0
U04942,21,일반고,사립,남자학교,3,5,10,0,5,,,9,0.0
U07120,21,일반고,공립,남여공학,3,5,8,0,17,,,10,70.0
U00849,21,자율고,공립,여자학교,11,5,5,0,11,,,19,0.0
U06919,21,일반고,사립,남자학교,3,5,5,0,5,상경대학경제학과서울캠퍼스,,3,70.0
U01323,21,일반고,공립,남여공학,3,5,5,0,5,글로벌경제학과,,3,80.0
U00678,21,일반고,사립,여자학교,16,3,5,0,16,,,0,70.0
U07517,0,기타,기타,기타,0,5,5,0,18,,,8,60.0
U07124,21,일반고,공립,여자학교,17,5,5,0,10,,,9,80.0
U04656,21,일반고,공립,남여공학,11,3,5,0,11,,,5,20.0
U07448,21,일반고,사립,남자학교,9,3,5,0,9,,,10,80.0
U03834,21,일반고,공립,남자학교,3,5,5,0,3,,,5,60.0
U00602,21,일반고,사립,남자학교,3,3,5,0,7,,,9,70.0
U05056,21,일반고,사립,남여공학,5,5,5,0,5,의류학,,19,70.0
U06839,21,일반고,공립,남자학교,15,5,5,0,13,,,3,70.0
U02194,21,일반고,사립,여자학교,5,5,5,0,3,도예학과,,9,70.0
U06634,16,특성화고,사립,여자학교,17,0,0,0,0,,,9,70.0
U03535,22,일반고,공립,여자학교,5,5,5,0,3,,,9,80.0
U07994,21,일반고,사립,남여공학,14,3,5,0,14,,,19,80.0
U00525,21,일반고,사립,여자학교,18,3,5,0,18,,,3,70.0
U05496,21,일반고,사립,여자학교,11,5,5,0,6,사회복지상담학과,,5,80.0
U02864,21,일반고,공립,남자학교,6,3,5,0,7,,,4,80.0
U00387,21,일반고,공립,여자학교,4,5,5,0,3,,불어불문학과,9,80.0
U04209,21,일반고,사립,남자학교,3,5,5,0,17,,,3,80.0
U00848,8,특성화고,사립,남여공학,3,3,5,0,5,의류산업학과,,0,70.0
U07549,21,일반고,공립,여자학교,5,5,5,0,3,,,9,80.0
U07651,21,일반고,사립,남여공학,3,4,5,0,13,,,2,70.0
U05298,21,일반고,사립,남자학교,3,5,5,0,3,,,0,70.0
U05844,0,기타,기타,기타,18,3,5,0,4,,,9,90.0
U03164,21,일반고,공립,남여공학,3,0,0,0,0,,,3,70.0
U02939,0,기타,기타,기타,7,5,5,1,17,,,9,80.0
U02931,21,일반고,사립,남여공학,17,5,5,0,17,중국학과,,8,80.0
U07191,0,기타,기타,기타,0,5,5,0,3,,식품안전학,16,80.0
U00221,0,기타,기타,기타,0,0,0,0,0,,,9,90.0
U02030,21,자율고,사립,남자학교,3,5,5,0,3,,,19,80.0
U00362,21,일반고,사립,남자학교,11,5,5,0,11,,,0,80.0
U00965,21,자율고,사립,남여공학,3,5,5,0,3,,,9,80.0
U04615,0,기타,기타,기타,0,5,5,0,3,,,9,70.0
U07792,21,일반고,사립,여자학교,3,5,5,0,12,,,19,80.0
U07582,21,일반고,공립,남자학교,4,0,0,0,0,,,9,70.0
U02982,21,일반고,공립,남여공학,3,5,5,0,5,시각디자인학전공,,9,60.0
U06059,19,특목고,사립,남여공학,14,5,5,0,14,,,10,80.0
U06442,21,일반고,사립,남자학교,3,5,5,0,10,패션마케팅,패션디자인,9,80.0
U00003,21,일반고,공립,남여공학,6,5,5,0,17,,,4,90.0
U05663,21,일반고,사립,여자학교,7,5,5,0,7,,,19,80.0
U03359,0,기타,기타,기타,0,5,5,0,4,,,3,80.0
U01221,21,일반고,사립,여자학교,8,5,10,0,5,,,9,0.0
U02211,21,일반고,공립,남여공학,3,5,5,0,3,,,9,80.0
U02515,21,일반고,공립,남여공학,3,5,7,0,3,,,5,70.0
U03788,21,일반고,사립,남자학교,3,5,5,0,5,,,3,70.0
U05143,21,일반고,공립,남여공학,3,5,5,0,3,,,20,80.0
U08350,0,기타,기타,기타,3,5,10,0,5,사무자동화,,7,70.0
U01271,21,일반고,공립,남여공학,3,5,5,0,5,,,19,60.0
U04547,21,일반고,공립,남여공학,10,5,5,0,10,,,8,80.0
U07322,21,자율고,사립,남여공학,14,5,5,0,15,,,19,80.0
U02779,21,일반고,사립,여자학교,16,5,5,0,10,,,9,90.0
U04575,0,기타,기타,기타,0,5,5,0,3,의상디자인과전공심화,,9,80.0
U08220,21,일반고,사립,남자학교,3,5,5,0,4,,,9,80.0
U01063,21,일반고,사립,남자학교,3,5,5,0,3,전자전기컴퓨터공학부,,6,3.0
U05613,21,일반고,사립,남여공학,3,5,5,0,5,,사횡체육학과,3,70.0
U01032,21,일반고,사립,남여공학,3,5,5,0,3,,,0,80.0
U05287,21,일반고,사립,남자학교,3,5,5,0,18,,,3,80.0
U07739,21,일반고,사립,여자학교,6,3,5,0,6,,,4,80.0
U05815,21,일반고,사립,여자학교,3,5,7,0,3,,,5,80.0
U06451,21,일반고,공립,여자학교,3,0,0,0,0,,,9,90.0
U00015,21,일반고,공립,남여공학,5,5,5,0,3,,,9,60.0
U06359,21,일반고,공립,남여공학,3,5,5,0,3,,,10,80.0
U07749,21,일반고,사립,남자학교,3,5,5,0,17,영미영문학,,8,70.0
U07112,21,일반고,사립,남자학교,3,5,10,0,5,,,9,93.9
U06468,21,일반고,사립,남여공학,3,5,5,0,4,스포츠경영관리학과,,9,70.0
U05830,21,일반고,사립,여자학교,15,5,5,0,8,,,9,80.0
U06061,21,일반고,공립,남자학교,3,5,5,0,5,,,5,50.0
U02332,21,일반고,사립,남자학교,3,5,7,0,3,세무회계,,3,80.0
U06561,21,일반고,공립,여자학교,5,5,5,0,5,,,5,80.0
U05440,21,일반고,사립,남자학교,14,5,5,0,5,,,19,60.0
U02016,21,일반고,사립,남여공학,3,5,5,0,3,,,3,70.0
U08456,21,일반고,공립,남자학교,3,5,5,0,3,,,9,70.0
U00625,0,기타,기타,기타,0,5,5,0,4,자원식물학과,,23,80.0
U08179,0,기타,기타,기타,0,5,5,0,3,,,9,90.0
U04175,21,일반고,사립,남자학교,3,5,5,0,3,,,4,80.0
U03497,21,일반고,공립,여자학교,5,5,5,0,3,,,9,80.0
U01582,21,일반고,공립,남여공학,5,5,5,0,7,생물학전공,,4,70.0
U04535,21,일반고,사립,남여공학,13,5,5,0,17,,,0,90.0
U02607,0,기타,기타,기타,0,0,0,0,0,,,9,70.0
U05764,21,일반고,공립,여자학교,17,5,5,0,3,의류패션산업학과,,0,90.0
U05158,0,기타,기타,기타,0,5,5,0,3,,컴퓨터공학,7,80.0
U06507,21,일반고,사립,남여공학,5,5,5,0,3,,,0,80.0
U01385,21,일반고,공립,여자학교,18,5,5,0,3,현대미술,,9,80.0
U02615,21,일반고,공립,여자학교,3,5,8,0,17,인테리어디자인,,9,70.0
U03429,0,기타,기타,기타,0,5,5,0,3,,,3,70.0
U04092,0,기타,기타,기타,17,5,5,0,19,,,5,70.0
U05923,21,일반고,사립,남여공학,18,0,0,0,0,,,3,60.0
U00218,21,일반고,사립,여자학교,3,5,7,0,3,,,5,80.0
U03611,21,일반고,공립,여자학교,16,5,5,0,11,,유통관리학,19,90.0
U03215,21,일반고,사립,여자학교,3,5,5,0,3,,,9,70.0
U01997,0,기타,기타,기타,3,5,5,0,3,,,9,60.0
U08117,21,일반고,사립,남여공학,14,3,5,0,15,,,4,80.0
U06063,21,일반고,사립,남자학교,8,3,5,0,6,,,4,70.0
U07143,21,일반고,사립,여자학교,9,5,5,0,7,서양화,,0,80.0
U00837,21,일반고,사립,남자학교,9,5,5,0,10,,,4,90.0
U03581,21,일반고,사립,남자학교,3,5,5,0,18,,,9,90.0
U07552,21,일반고,사립,남여공학,3,5,5,0,5,,,3,70.0
U02421,0,기타,기타,기타,3,5,10,0,5,,,3,80.0
U02593,21,일반고,사립,여자학교,3,5,5,0,3,,영어,8,80.0
U00403,0,기타,기타,기타,0,0,0,0,0,경영학사,,3,70.0
U02031,21,일반고,공립,남여공학,3,5,5,0,3,,,9,90.0
U03826,21,일반고,공립,여자학교,3,5,5,0,3,,,9,70.0
U06095,21,자율고,사립,남자학교,3,5,5,0,17,전기정보통신,,12,0.0
U04794,21,일반고,사립,여자학교,11,3,5,0,11,,,9,70.0
U03515,0,기타,기타,기타,0,5,5,0,17,,,3,70.0
U05478,21,자율고,사립,남자학교,3,0,0,0,0,패션디자인학전공,,5,80.0
U05890,21,일반고,공립,여자학교,5,5,5,0,3,,,9,80.0
U07984,21,일반고,사립,남여공학,5,5,5,0,3,,,9,60.0
U03951,21,일반고,공립,남여공학,5,5,5,0,3,미디어정보,,4,80.0
U04885,21,일반고,사립,남여공학,3,5,5,0,5,,,8,70.0
U06420,0,기타,기타,기타,0,5,5,0,17,,,9,80.0
U06599,21,자율고,사립,남자학교,10,3,5,0,10,,,10,70.0
U02542,21,일반고,사립,여자학교,9,5,5,0,9,통상학,,3,70.0
U06708,21,일반고,공립,남자학교,13,5,5,0,10,,,4,0.0
U00882,21,일반고,사립,남여공학,6,5,5,0,11,,,9,80.0
U06669,0,기타,기타,기타,0,5,5,0,3,,,19,70.0
U06496,21,자율고,사립,남자학교,3,5,5,0,3,산림자원환경,,4,80.0
U07864,21,일반고,공립,남여공학,5,5,5,0,17,,,9,70.0
U07924,21,일반고,공립,남여공학,5,5,8,0,17,호텔경영학과학점은행제경영학사취득,,5,80.0
U08062,21,일반고,사립,여자학교,3,5,5,0,3,,,14,80.0
U04661,21,일반고,사립,남자학교,9,5,5,0,7,,,3,80.0
U07046,21,일반고,공립,남여공학,5,5,7,1,3,,,9,70.0
U06803,21,자율고,공립,남자학교,14,5,5,0,3,,,3,80.0
U08464,21,일반고,공립,여자학교,3,3,6,0,3,,,4,50.0
U01017,21,일반고,사립,남자학교,11,3,5,0,11,,,8,60.0
U00808,21,일반고,사립,여자학교,13,5,5,0,17,,,9,90.0
U03013,21,일반고,공립,남자학교,17,3,5,0,15,,,11,70.0
U00996,21,일반고,사립,남여공학,3,0,0,0,0,식물자원시스템공학부,,23,80.0
U05712,21,일반고,사립,남자학교,3,5,5,0,15,,스포츠산업복지학과,9,80.0
U04761,0,기타,기타,기타,0,5,5,0,8,피아노연주전공,첼로연주부전공,9,90.0
U01868,21,일반고,공립,여자학교,3,5,5,0,3,,,4,80.0
U01769,21,일반고,공립,여자학교,3,5,5,0,18,실내디자인과,,9,80.0
U05639,21,일반고,공립,남여공학,3,5,7,0,3,E비지니스,,3,70.0
U08093,0,기타,기타,기타,18,3,5,0,10,기계공학,,11,70.0
U05680,21,일반고,사립,남자학교,3,5,5,0,3,물리치료,,22,70.0
U01614,21,일반고,사립,여자학교,7,0,0,0,0,,,9,90.0
U04869,21,일반고,공립,남여공학,18,3,5,0,18,,,9,70.0
U00081,21,일반고,사립,남여공학,14,3,5,0,14,,,3,70.0
U03363,0,기타,기타,기타,0,3,5,0,15,,,4,70.0
U05548,21,일반고,사립,남자학교,3,5,5,0,13,,,11,70.0
U04435,21,자율고,사립,여자학교,3,5,5,0,3,,,9,80.0
U06612,21,일반고,공립,여자학교,6,3,5,0,6,,,4,80.0
U02762,21,일반고,사립,남여공학,5,5,10,0,5,제화공업과,,9,70.0
U05707,21,일반고,공립,여자학교,3,5,5,0,3,,,9,90.0
U01985,21,일반고,공립,남여공학,3,5,5,0,5,,,9,80.0
U07640,0,기타,기타,기타,0,3,5,0,11,,,0,70.0
U05623,21,일반고,공립,남자학교,3,0,0,0,0,,,8,0.0
U00957,0,기타,기타,기타,0,5,5,0,10,의상디자인학부,,4,80.0
U02410,0,기타,기타,기타,0,5,5,0,3,,,4,70.0
U01756,21,일반고,공립,남여공학,5,3,5,0,7,,,9,60.0
U05101,21,일반고,사립,여자학교,3,5,5,0,3,,,9,70.0
U03344,21,일반고,사립,여자학교,3,5,5,0,3,,,0,90.0
U07590,21,일반고,공립,남여공학,5,5,5,0,3,,,19,80.0
U00593,19,특목고,공립,남여공학,13,5,5,0,3,,섬유미술패션디자인,9,80.0
U03609,21,일반고,공립,여자학교,6,5,5,0,5,,,19,80.0
U00844,0,기타,기타,기타,0,3,5,0,7,,,19,80.0
U05883,21,자율고,사립,남여공학,14,5,5,0,15,,,4,80.0
U00245,21,일반고,공립,남여공학,5,5,5,0,18,,,9,80.0
U01424,21,일반고,공립,여자학교,13,5,5,0,3,식물자원학,,16,80.0
U00657,21,일반고,공립,남여공학,11,5,5,0,11,,,9,80.0
U05807,21,자율고,사립,남자학교,3,3,5,0,5,식물생명환경과학부,,23,60.0
U00195,21,일반고,공립,남여공학,3,5,5,0,3,,,9,80.0
U03488,21,일반고,사립,남자학교,8,0,0,0,0,비즈니스학과전공,,9,80.0
U02974,21,일반고,사립,여자학교,15,3,5,0,15,,,9,0.0
U04216,8,특성화고,공립,남여공학,3,3,5,0,4,,,14,80.0
U01232,21,일반고,사립,여자학교,4,5,5,0,4,,,5,80.0
U00444,21,일반고,사립,남자학교,3,5,5,0,3,,,0,60.0
U06858,21,일반고,사립,여자학교,3,5,5,0,3,,,10,70.0
U02919,21,일반고,사립,남자학교,17,3,5,0,18,패션디자인정보학,농업경제학,9,70.0
U06872,21,자율고,사립,남자학교,3,5,5,0,5,,,12,70.0
U02340,21,일반고,사립,여자학교,3,0,0,0,0,,,20,100.0
U08481,21,자율고,공립,여자학교,5,5,5,0,5,,,9,60.0
U06445,21,일반고,사립,여자학교,9,5,5,0,7,,,19,80.0
U05628,0,기타,기타,기타,0,5,5,0,17,,,5,80.0
U02562,21,일반고,공립,여자학교,11,3,5,0,11,,,9,0.0
U04119,0,기타,기타,기타,0,0,0,0,0,현대중국어,,8,90.0
U07772,0,기타,기타,기타,0,5,5,0,3,,,3,80.0
U00730,21,일반고,사립,남자학교,3,0,0,0,0,,,8,50.0
U05855,21,일반고,공립,여자학교,3,5,10,0,3,,,19,80.0
U05931,0,기타,기타,기타,5,0,0,0,0,,,9,80.0
U06922,0,기타,기타,기타,0,0,0,0,0,,,9,80.0
U04565,0,기타,기타,기타,0,5,8,0,15,,경제통상학,9,20.0
U01966,21,일반고,사립,남자학교,7,5,5,0,9,,한국어문학,0,70.0
U00559,21,일반고,사립,여자학교,3,5,5,0,5,,,0,90.0
U00102,0,기타,기타,기타,7,5,5,0,3,,,4,90.0
U02202,21,일반고,공립,남여공학,3,5,5,0,17,,,4,70.0
U00392,21,일반고,사립,여자학교,3,5,5,0,3,섬유디자인공예과,,9,70.0
U08197,21,일반고,공립,남여공학,6,3,5,0,6,,,0,80.0
U05108,21,일반고,사립,남자학교,3,3,5,0,17,식품영양,,4,50.0
U03679,21,일반고,사립,남자학교,11,5,5,0,12,,,0,80.0
U01165,21,일반고,사립,남자학교,11,5,5,0,8,,,0,70.0
U00817,21,일반고,사립,남자학교,3,5,5,0,5,,,5,80.0
U08452,21,일반고,공립,여자학교,4,5,5,0,3,,섬유미술학과,9,70.0
U02889,21,일반고,사립,남자학교,3,5,5,0,3,,,3,70.0
U00547,0,기타,기타,기타,0,5,10,0,5,,,20,60.0
U05808,0,기타,기타,기타,8,5,5,0,5,,,9,80.0
U03739,0,기타,기타,기타,0,5,5,0,5,,,8,70.0
U05988,21,일반고,공립,남여공학,3,0,0,0,0,중문과,,8,90.0
U00427,21,자율고,사립,남자학교,3,5,5,0,4,,,3,80.0
U05309,21,자율고,사립,남자학교,3,3,5,0,4,식품공학,,0,70.0
U03724,0,기타,기타,기타,11,5,5,0,11,,,4,90.0
U05850,0,기타,기타,기타,3,5,5,0,3,,,9,80.0
U07473,0,기타,기타,기타,0,5,5,0,5,스포츠경영학과,,9,80.0
U04159,21,일반고,사립,여자학교,3,5,5,0,5,장신구금속디자인,,9,80.0
U02888,21,일반고,사립,남자학교,9,5,5,0,9,,,0,70.0
U01508,0,기타,기타,기타,0,5,5,0,7,,,9,90.0
